주소,간이약도,관리자,Tel,위도lon,경도lat
"경상북도 경산시 펜타힐즈2로 40 관리사무소 입구 (중산동, 펜타힐즈 더샵 2차)",관리사무소 입구,김태형,010-6796-1052,35.8269003682,128.7191418286
경상남도 통영시 산양읍 산양일주로 1361-96,한려해상생태탐방원 체험관2층 로비,하태영,055-640-3434,34.7798755246,128.3888483088
"경기도 성남시 수정구 위례중앙로 216 서문 보안실 (창곡동, 위례 호반베르디움)",서문 보안실,장유진,,37.4724396744,127.1537950881
서울특별시 송파구 새말로 27 서울지방경찰청 제3기동단 본관 1층 (문정동),본관1층,구상호,02-3400-9321,37.4808856775,127.1177776831
서울특별시 송파구 삼학사로2길 49  (가락동),사무실 출입구 좌측,김경식,02-412-2486,37.4966656287,127.1005412365
충청북도 청주시 흥덕구 충북 청주시 흥덕구 송화로214번길 29,커뮤니티센터,김종태,043-272-0941,36.6679218386,127.4569141475
"서울특별시 중랑구 신내로19길 42  (신내동, 신내6단지신내아파트)",607동엘리베이터 앞,박재명,010-8717-1202,37.6141021239,127.0910356091
부산광역시 연제구 과정로251번길 33  (연산동),민원실 내 ,정민혁,051-665-5915,35.1871232269,129.1009899127
경기도 고양시 일산동구 경의로 318  (백석동),백마역 2층 2번출구 기둥,이종문,010-3913-6393,37.6583226774,126.7944569658
전라북도 정읍시 정읍사로 547  (시기동),정읍시 청소년수련관,유연국,063-533-7920,35.5521918013,126.8629325567
"세종특별자치시 세종시 세종특별자치시 대평로 80  (대평동, 해들마을 6단지)",611동 관리사무소 입구,윤훈,044-868-9235,36.4748714417,127.2766922584
전라북도 고창군 신림면 신림로 178,신림치안센터,은기수,562-4112,35.4885434624,126.7169349527
경기도 성남시 분당구 분당수서로 442 (정자동),1층 중앙현관 출입문 우측 1미터,김명자,031-711-5197,37.3745036818,127.1052010827
대구광역시 달성군 논공읍 위천리 552-1,강변야구장 사무실,정우성(강변야구장),053-659-4412,35.7531480642,128.3900609628
"경상북도 포항시 남구 인덕로 71  (인덕동, 소망아파트)",관리사무소 입구,관리소장,0542227520,35.9918236039,129.3957545181
충청남도 아산시 배방읍 모산로 140-12,배방도서관1층 현관문 앞,김민정,010-5421-9870,36.7739527437,127.0577858326
서울특별시 구로구 경인로 430 고척체육센터 (고척동),고척체육센터 지하2층,이장영,010-5298-8273,37.4982122051,126.8670867062
서울특별시 구로구 오류로 36-25 남부캠퍼스 (오류동),1층 통로,이호원,02-460-5312,37.4884278084,126.8419138462
"경상남도 김해시 주촌면 서부로 1784-9, 김해건강생활지원센터",1층 로비,이재선,010-2868-3714,35.234778874,128.8457560416
강원도 원주시 소초면 무쇠점2길 26,구룡자동차야영장 사무실,한지현,033-740-9912,37.4140395445,128.0503837991
제주특별자치도 제주시 애월읍 장전로 122,장전초등학교 본관1층 현관,김현숙,064-798-2200,33.4494423548,126.390375402
"경상남도 창원시 진해구 냉천로 189 (자은동, 센트럴 빌리지)",관리사무소 입구,이창훈,546-8723,35.1568414259,128.7169684632
서울특별시 중랑구 신내로 156  (신내동),1층 치과 앞 복도,최태진,02-2276-7573,37.6130900493,127.0991891396
경기도 남양주시 화도읍 경춘로 1992 롯데마트 마석점 도와센터 내,롯데마트 마석점 도와센터 내,박영민,010-7496-6642,37.6501388162,127.3092958193
부산광역시 연제구 거제대로 180  (거제동),민원실 내 ,이봉명,665-5751,35.1842842446,129.0712011534
세종특별자치시 세종시 세종특별자치시 금남면 영골길 26,영곡1리 마을회관,원유빈,044-301-5514,36.4512073245,127.2637935649
경상남도 김해시 진영읍 하계로 127,2층 간호사실 벽면,심혜영,055-340-8530,35.2864828674,128.7177278990
충청북도 청주시 흥덕구 오송읍 오송가락로 123,오송역 7-8번 승강장 대기실,조흥민,043-231-4542,36.6204736583,127.3271421190
충청북도 청주시 흥덕구 오송읍 오송가락로 123,오송역 11-12번 승강장 3호차 앞,조흥민,043-231-4542,36.6204736583,127.3271421190
인천광역시 계양구 봉오대로600번길 14 효성도서관 (효성동),도서관 1층 로비,김지훈,,37.5292367716,126.7150028225
경상남도 거제시 일운면 지세포1길 27 관리사무소 (거제 코아루 파크드림),거제코아루파크드림관리사무소,최고수,055-682-5819,34.8268287556,128.7032643446
세종특별자치시 세종시 세종특별자치시 금남면 남곡2길 1,남곡리 마을회관,원유빈,044-301-5514,36.4699493387,127.3138335991
경상남도 함양군 함양읍 필봉산길 49 상림관리사무소,상림사무소 입구, 이수민,055-960-4136,35.5237266912,127.7218597696
경기도 용인시 수지구 고기로 385 고기초등학교 (고기동),고기초등학교 1층 중앙현관 시계 옆,박혜인,031-262-3551,37.3589082642,127.0659882279
경상남도 통영시 산양읍 산양일주로 1361-96,한려해상생태탐방원 생활관 1층 관리실,하태영,055-640-3434,34.7798755246,128.3888483088
"서울특별시 중랑구 신내로19길 42  (신내동, 신내6단지신내아파트)",605동엘리베이터 앞,김병태,010-8717-1202,37.6141021239,127.0910356091
세종특별자치시 세종시 세종특별자치시 금남면 감성길 45,감성리 마을회관,원유빈,044-301-5514,36.4421649354,127.290990866
경기도 구리시 안골로 105 한국마사회 구리지사 (수택동),3층 객장,배성환,031-510-5512,37.5978726743,127.1428016168
"광주광역시 북구 용두마을길 13  (용두동, 이안 광주첨단 아파트)",관리동,김화영,010-9635-8830,35.2198944331,126.8758744533
"광주광역시 북구 동배마을길 29  (동림동, 운암산 코오롱하늘채)",운암산코오롱하늘채 관리소,윤영복,062-522-0060,35.1794671484,126.8595518744
전라남도 영암군 영암읍 기찬랜드로 41 매표소,월출산기찬랜드 매표소,이성민,010-5113-0214,34.7912964175,126.6850114303
대전광역시 동구 가양로 122  (가양동),주민센터 1층,고영진,010-5910-1327,36.3470052215,127.4414480484
경상남도 창녕군 부곡면 부곡로 145 602병동,602병동,김희영,055-536-6440,35.4353738693,128.6132771534
대구광역시 남구 이천로 124  (이천동),이천어울림도서관 1층 로비,이광원,0536643571,35.8524098108,128.5987981892
"경기도 수원시 영통구 센트럴파크로 6 (하동, 힐스테이트 광교)",정문 경비실,고상영,031-216-9307,37.2863040491,127.0641148333
대구광역시 수성구 유니버시아드로 365  (욱수동),2층 엘레베이터 옆,배은귀,053-819-2004,35.8288963918,128.7103634661
인천광역시 중구 공항로 271 인천국제공항공사 (운서동),탑승동 3층 121번 탑승구,최미애,032-741-5738,37.4562234757,126.4459951652
"경기도 김포시 김포한강8로 173-59  (마산동, e편한세상 한강신도시2차)",관리사무소 앞,김대관,,37.636704312,126.6390108007
대구광역시 달성군 논공읍 금포로 75-20,우신미가뷰 아파트 관리사무실,허 안 구,010-8897-4936,35.7690235411,128.4269736235
서울특별시 서대문구 증가로 150 남가좌동 (남가좌동),관리사무소 입구 왼쪽 벽,유수경,02-303-2296,37.5780531383,126.9210173526
인천광역시 연수구 청능대로 87 롯데마트 연수점 (청학동),롯데마트 연수점,임규철,032-810-2500,37.4151205615,126.6751717960
인천광역시 계양구 오조산로21번길 4 작전도서관 (작전동),도서관 1층 로비,손명구,555-9734,37.5330051478,126.7377294431
전라북도 정읍시 소성면 저동길 45,정읍교도소 의료과,최재석,063-928-9705,35.5752526347,126.7977599433
대구광역시 달성군 가창면 가창로 1100,주출입문 입구,김영생,053-668-5572,35.8027083912,128.6228326135
세종특별자치시 세종시 세종특별자치시 도움4로 9 국가보훈처 (어진동),국가보훈처 1층 로비,김동일,044-202-5334,36.5031953024,127.2612819550
대구광역시 달성군 논공읍 달성군청로 33 달성군의회,달성군의회,김가람,053-668-3402,35.7748444879,128.4318814449
대구광역시 달성군 옥포읍 비슬로 2040,2층 로비,조은정,053-668-3212,35.7820888660,128.4468393662
경상남도 창녕군 창녕읍 봉천길 43,한국농어촌공사 창녕지사 1층 로비,김창준,01048565330,35.5352531728,128.5003430621
서울특별시 중구 청파로 426  (봉래동2가),2층 매장 정문,심재우,010-9492-8443,37.5574464252,126.969510283
"충청남도 서산시 안견로 457  (읍내동, 읍내동양우내안애퍼스트힐아파트)",정문경비실,박천용,010-4414-4888,36.7828168703,126.4423096951
경기도 구리시 검배로9번길 21 왕숙1경로당 (수택동),경로당 안 창문 옆 벽면,염정순 회장,031-566-9494,37.6009975748,127.1425811050
서울특별시 중랑구 신내로 156  (신내동),1층 정문 병동쪽출입문 복도,최태진,02-2276-7573,37.6130900493,127.0991891396
서울특별시 중랑구 신내로 156  (신내동),1층 영상의학과 투시조영실 앞 복도,최태진,02-2276-7573,37.6130900493,127.0991891396
전라북도 남원시 광한북로 54 하정동 (하정동),남원시립도서관,이다지,010-4072-1070,35.407717445,127.3801911085
경기도 양주시 옥정서로 254  (옥정동),관리사무소,관리소장,031-865-9866,37.8354330985,127.0884941842
충청북도 충주시 금봉6길 21 충주시립도서관 분관 어린이 청소년 도서관 (용산동),충주시어린이청소년도서관,황동준,043-850-3986,36.9637105028,127.9420686906
전라남도 해남군 해남읍 해남로 8,해남종합버스터미널 대합장,염재근,01098556774,34.5705624786,126.6079156834
경기도 군포시 산본천로183번길 6 산본시장 (산본동),총각네야채 기둥,정호선,010-3924-0124,37.3701717330,126.9385357483
경기도 군포시 산본천로183번길 6 산본시장 (산본동),맛자랑나물 통로 벽,정호선,010-3924-0124,37.3701717330,126.9385357483
"경기도 성남시 수정구 태평로 65 103동 B1층 출입문에서의 방향 우, 직진, 우 20m (태평동, 가천대역 두산위브)","103동 B1층 출입문에서의 방향 우, 직진, 우 거리 20m",전성환,031-759-8085,37.4498626685,127.1341251029
"대전광역시 서구 청사로 27-9, 월평3동행정복지센터 1층 (월평동)",민원실 입구,임유정,042-288-5510,36.3602812327,127.3668687972
인천광역시 중구 공항로 271 인천국제공항 (운서동),제1여객터미널 3층 동측 귀빈실,최미애,032-741-5738,37.4496445933,126.4537531886
"대전광역시 유성구 학하중앙로 99  (계산동, 오투그란데리빙포레아파트)",관리사무소 내,양희찬,042-825-8061,36.3441298933,127.3034138367
인천광역시 중구 공항로 271 인천국제공항공사 (운서동),제1여객터미널 3층 L ~ M,최미애,032-741-5738,37.4497038306,126.4530678333
인천광역시 중구 공항로 271 인천국제공항공사 (운서동),탑승동 2층 113번 탑승교,최미애,032-741-5738,37.4566280261,126.4464771522
충청북도 청주시 청원구 오창읍 중부로 760  (오창 롯데캐슬 더 하이스트),관리사무소,정현희,043-214-0088,36.7115564588,127.4370957251
"인천광역시 서구 심곡로132번길 17  (심곡동, 동남아파트)",관니사무소 입구,관리사무소장,0325612533,37.5457923950,126.6834410470
대구광역시 수성구 지범로41길 36  (범물동),1층 로비,김주호,668-1700,35.8212074579,128.6461305435
광주광역시 남구 독립로 51  (백운동),광주백운초등학교,김희경,0626709181,35.1381998595,126.9000728968
"서울특별시 강동구 고덕로97길 20  (강일동, 강일리버파크10단지아파트)",노인정 내,관리사무소장,02-427-0366,37.5592088582,127.1799953539
경기도 화성시 봉담읍 와우안길 17 보건실,수원대학교 보건실,이재연,01064282416,37.2091085632,126.9764890970
"인천광역시 연수구 컨벤시아대로252번길 10 송도더샵파크애비뉴아파트 (송도동, 송도 더샵 파크애비뉴 아파트)",관리동지하1층로비,유오순,01088648294,37.3858450314,126.6368745982
경기도 평택시 안중읍 송담1로 85 송담 지엔하임 1차 (송담 지엔하임1차),송담지엔하임 1차 관리사무소,최성묵,031-686-9238,36.9785601299,126.9285462894
"인천광역시 남동구 구월로 192  (구월동, 힐스테이트롯데캐슬골드1단지아파트)",4관제실 (1403동과 1404동 사이),김해천,032-463-6821,37.4558042400,126.7129825981
인천광역시 중구 공항로 271 인천국제공항 (운서동),제1여객터미널 지하2틍 셔틀트레인 동측 도착 플랫폼,최미애,032-741-5738,37.4495094543,126.4539329359
인천광역시 중구 공항로 271 인천국제공항 (운서동),제1여객터미널 지하2층 셔틀트레인 서측 도착 플랫폼,최미애,032-741-5738,37.4494943106,126.4531378510
인천광역시 중구 공항로 271 인천국제공항 (운서동),제2여객터미널 구급대기실,최미애,032-741-5738,37.4678821505,126.4352094074
인천광역시 중구 공항로 271 인천국제공항공사 (운서동),제1여객터미널 3층 D ~ E,최미애,032-741-5738,37.4496180237,126.4530684580
경상북도 경주시 갓뒤동녘길 37 (황성동),주민센터 내,김은주,054-779-8471,35.8722246405,129.2191272714
"경기도 평택시 용죽2로 30 관리사무소 (용이동, 평택비전에듀포레푸르지오)",관리사무소 내,김두영,0316589770,36.9936451343,127.1231735689
"광주광역시 북구 군왕로 295  (각화동, 힐스테이트 각화)",광주 각화힐스테이트 관리소,김길주,01039995840,35.1866099461,126.9375936268
경상북도 포항시 북구 중흥로 170  (죽도동),중앙현관(좌측),최은영,054-283-7824,36.0188986317,129.3560546347
경기도 구리시 경춘로20번길 54-1 상덕경로당 (교문동),경로당 정수기 옆 벽면,임종진 회장,031-553-1231,37.5990712144,127.1181494414
충청북도 청주시 흥덕구 오송읍 오송가락로 123,오송역 13-14번 승강장 3호차 앞,조흥민,043-231-4542,36.6204736583,127.3271421190
"서울특별시 구로구 고척로52길 48  (고척동, 고척대우아파트)",경비실 3초소,김장한,010-2618-2733,37.5028259532,126.8560654538
제주특별자치도 제주시 동문로 89-1  (건입동),본관1층 중앙현관,송금숙,010-7134-6601,33.5148415200,126.5364572967
세종특별자치시 세종시 세종특별자치시 금남면 바람재로 615-5,영대1리 마을회관,원유빈,044-301-5514,36.4585701653,127.3335246356
