주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도
인천광역시 중구 개항로 28-1 (신포동),N,0,기업은행 대각선 맞은편 건물 3층.,윤명국치과의원,032-772-4102,,1530,1000,1530,1000,1530,1000,1530,1000,1530,1000,1200,1000,,,,,37.47178003740648,126.62563736283144
"인천광역시 중구 우현로72번길 3-4, 3층 (용동)",N,0,경동치안센터 맞은편 건물 2층.,이규원치과의원,032-766-7757,,1800,1400,1800,1400,1800,1400,1800,1400,1800,1400,1600,1400,,,,,37.47336709706548,126.63016225505851
"인천광역시 중구 흰바위로 31, 3층 (운서동)",N,0,영종주공10단지 아파트 맞은편 에어로시티 건물 3층.,이사랑치과의원,032-751-2875,,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1500,1000,,,,,37.49275372276444,126.48845639892391
"인천광역시 중구 신도시남로 137, 3층 303,304호(운서동,화평빌딩)",N,0,"롯데마트 옆, 화평빌딩 국민은행 건물 3층 301호",이플란트치과의원,032-746-2804,,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1500,0930,,,,,37.49376912476672,126.49011852024758
"인천광역시 중구 공항로424번길 84, 3층 (운서동)",N,0,,인하국제치과의원,032-206-1920,,1730,0900,1730,0900,1730,0900,2000,0900,1730,0900,,,,,,,37.43907824702719,126.46383615500491
인천광역시 중구 제물량로 261  (선린동),N,0,"인천역 사거리 주변, 준메디칼의원 옆 건물 3층.",전영섭치과의원,032-772-3997,,1730,1030,1730,1030,1730,1030,1730,1030,1730,1030,1430,1030,,,,,37.47504179189022,126.61739735773075
"인천광역시 중구 우현로35번길 1, 2~3층 (신포동)",N,0,답동 사거리 현대자동차 맞은편 건물 2층.,정충근치과의원,032-763-2888,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1230,0930,,,,,37.47045701713246,126.6275216092699
인천광역시 중구 우현로 41-1 (신포동),N,0,"신흥초교 맞은편, 동의보감 한의원 건물 3층.",최현수치과의원,032-762-2649,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1300,0930,,,,,37.47115126389756,126.62796019269437
"인천광역시 중구 하늘별빛로 75, 4층 (중산동)",N,0,,하늘리더스치과의원,032-751-2840,,1900,1000,2100,1000,1900,1000,2100,1000,1900,1000,1400,1000,,,,,37.48979730792528,126.56277561719253
"인천광역시 중구 하늘중앙로195번길 29, 3층 (중산동)",N,0,,하늘수치과의원,032-752-2875,,1900,1000,1900,1000,1900,1000,2100,1000,1900,1000,1400,1000,,,,,37.4889871272376,126.56285178120045
