주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도
경상남도 합천군 합천읍 대야로 876,B,1,"시외버스터미널, 금강주유소 맞은 편",삼성합천병원,055-933-2200,070-5125-5030,1700,0830,1700,0830,1700,0830,1700,0830,1700,0830,1200,0830,,,,,35.56635668398722,128.16327169035327
경기도 안산시 단원구 선부로 201 (선부동),B,1,와동체육공원 마주보고 있음,온누리병원,031-412-2200,031-412-2222,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1300,0900,2400,0000,2400,0000,37.34182861904807,126.8175567728982
경기도 파주시 문산읍 방촌로 1675-20,B,1,"당동주공 4단지 - 뚱발프라자 사이에 위치.
주변시설 : 문산고등학교, 파주전기초자, 홈필러스 등등..",무척조은병원,031-954-1400,031-954-0119,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1230,0900,,,,,37.86396621605936,126.78097787974224
"경기도 파주시 문산읍 문향로39번길 53, 문산중앙병원",B,1,,문산중앙병원,031-950-9000,031-950-9099,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,37.8614876033058,126.822528450836
경기도 동두천시 동광로 53 (생연동),B,1,중앙시장 앞. 문화극장 사거리에서 중앙시장 쪽으로,동두천중앙성모병원,031-863-0550,031-863-1339,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1430,0900,2400,0000,2400,0000,37.90888404022765,127.05398051509534
강원도 정선군 정선읍 봉양1길 145,B,1,  ,근로복지공단정선병원,033-560-7100,033-560-7150,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,,,,,,,37.3829238141538,128.658420530712
"경상남도 사천시 중앙로 136, 삼천포제일병원 (벌리동)",B,1,우체국사거리,삼천포제일병원,055-833-4400,055-830-3099,1700,0830,1700,0830,1700,0830,1700,0830,1700,0830,1300,0830,,,,,34.9375392862,128.0795128117
경상남도 사천시 남일로 33 (동금동),B,1,사천소방서 옆,의료법인승연의료재단 삼천포서울병원,055-835-9900,055-830-9019,1800,0830,1800,0830,1800,0830,1800,0830,1800,0830,1300,0830,,,,,34.93302179207928,128.08012015415227
대구광역시 달서구 월배로 215 (상인동),B,1,,나사렛병원,053-643-1400,053-643-1400,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.81908451090866,128.5367641722303
경기도 양평군 양평읍 중앙로 129,B,1,터미널 뒤쪽,양평병원,031-770-5000,031-770-5129,1700,0825,1700,0825,1700,0825,1700,0825,1700,0825,1235,0825,,,,,37.493962635485616,127.50347093330032
경상남도 창녕군 창녕읍 창녕대로 122,B,1,창녕교육지원청 부근,의료법인창녕서울의료재단창녕서울병원,055-532-1975,055-530-7671,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.53476250295272,128.4976162683357
경상남도 창녕군 창녕읍 교리1길 2,B,1,,태황의료재단한성병원,055-530-5000,055-530-5119,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1300,0900,,,,,35.5421522771,128.4934147264
경기도 이천시 경충대로 2543 (진리동),B,1,,바른병원,031-630-0300,031-630-0399,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,37.27373314023728,127.45038927398872
경기도 이천시 장호원읍 서동대로 8793,B,1,,이천엘리야병원,031-642-8871,,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,37.1154645423,127.61207037950001
충청남도 부여군 부여읍 계백로 200,B,1,부여경찰서 옆,학교법인건양학원건양대학교부여병원,041-837-1200,041-837-1201,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,,,,,36.275554094438235,126.90169662482884
경기도 남양주시 화도읍 경춘로 1943-16,B,1,마석기독병원 근처,원병원,031-590-3114,031-5903-1189,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.651957172510606,127.30437739416751
강원도 철원군 갈말읍 명성로 208-0,B,1,,철원병원,033-452-5011,033-450-3300,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,,,,,,,38.15033057072112,127.30802768817259
