주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도
전라북도 군산시 오룡로 54,C,0,명산시장 입구,이외과의원,063-462-4565,,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1230,0900,,,,,35.9820171768081,126.70990227719484
제주특별자치도 서귀포시 중앙로 25-3 (서귀동),C,0,,대림외과의원,064-764-6362,,1800,0830,1800,0830,1800,0830,1800,0830,1800,0830,1300,0830,,,1300,0830,33.24708938144887,126.561538517071
"인천광역시 중구 운남로 167, 2~3층 (운남동)",C,0,용종자이아파트 부근 새마을금고 인근,서울외과의원,032-746-7582,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.49263806794504,126.53295651461293
경상남도 창원시 성산구 동산로 124  (상남동),C,0,대동백화점맞은편,고외과의원,055-281-0156,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400,0900,,,,,35.219370742247435,128.691593449779
경상남도 창원시 의창구 사화로 6 (팔용동) ,C,0,,굿모닝외과의원,055-277-8275,,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1300,0900,,,,,35.257258657,128.6086401916
경상남도 창원시 성산구 마디미로21번길 17  (상남동),C,0,한마음병원 부근 피아노빌딩 8층,길흉부외과의원,055-264-1199,,1800,1000,1800,1000,1800,1000,1800,1000,1800,1000,1500,0930,,,,,35.22167711765869,128.68621599045707
경상남도 창원시 성산구 원이대로 654  (상남동),C,0,은아아파트 부근,새롬외과의원,055-262-7533,,1800,0930,1800,0930,1200,0930,1800,0930,1800,0930,1300,0930,,,,,35.224394161277225,128.68499376826315
"경상남도 창원시 의창구 서상로 69 (서상동, 정원빌딩2층)",C,0,중동우체국 부근,서울외과의원,055-298-3533,,1900,0900,1900,0900,1300,0900,1900,0900,1900,0900,1400,0900,,,,,35.264697745,128.6200920727
"경상남도 창원시 마산합포구 해안대로 11 (해운동, 월드프라자)",C,0,,위즈여성외과의원,055-245-5222,,1800,0930,1800,0930,1800,0930,1800,0930,1800,0930,,,,,,,35.18066103141691,128.5602317081111
"경상남도 창원시 성산구 대암로 247, A동 6층 (성주동, 더스퀘어)",C,0,,화사랑외과의원,055-602-3119,,2359,0000,2359,0000,2359,0000,2359,0000,2359,0000,2359,0000,2359,0000,2359,0000,35.2038232258,128.7116633204
경상남도 창원시 성산구 원이대로 716  (상남동),C,0,대동백화점 부근,대동외과의원,055-289-6770,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.221009694293734,128.69013384714964
경상남도 창원시 성산구 상남로 122 (상남동),C,0,삼성전자서비스 옆,미즈유외과의원,055-263-6875,,1730,0930,1730,0930,1730,0930,1730,0930,1730,0930,1500,0930,,,,,35.2237157541774,128.68332840405017
경상남도 창원시 의창구 대산면 주남로 574-8,C,0,대산면사무소,박외과의원,055-291-4271,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.3347083446901,128.70868465276345
전라북도 정읍시 중앙1길 58 (수성동),C,0,장기형정형외과 건강종합약국사이,하나외과의원,063-535-9966,,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,,,,,35.56856572482555,126.85173674734358
경상남도 거창군 거창읍 거열로 202,C,0,SK북부주유소 옆,최창수외과의원,055-944-1230,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1200,0900,,,1200,0900,35.69076279087259,127.91555915250502
충청남도 서산시 율지11로 10 (동문동),C,0, 새마을금고 맞은편,서산성심외과의원,041-664-7666,,1800,0830,1800,0830,1800,0830,1800,0830,1800,0830,1300,0830,,,,,36.7806889478177,126.46079091064683
충청남도 서산시 안견로 173,C,0,삼성생명 옆,서산연합외과의원,041-668-3017,,1800,0830,1800,0830,1300,0830,1800,0830,1800,0830,1300,0830,,,,,36.78286789658139,126.45954977141045
"충청남도 서산시 안견로 189, 2,3층 (동문동)",C,0,유니소아과 옆,서산외과의원,041-663-7799,,1800,0830,1800,0830,1800,0830,1800,0830,1800,0830,1230,0830,,,,,36.78154134039111,126.45951878297853
경기도 파주시 금정28길 35 (금촌동),C,0,,라온외과의원,031-946-9119,,2100,0900,2100,0900,2100,0900,2100,0900,2100,0900,1400,0900,,,,,37.764401624,126.7739396895
"경기도 파주시 적성면 청송로 1006, 2층",C,0,적성파출소 맞은편,적성이강흉부외과의원,031-959-2119,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.95310843919436,126.91758399880361
경기도 파주시 시청로 1,C,0,,한사랑외과의원,031-942-4500,,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,1600,0900,,,1300,1000,37.75823215791048,126.77410202523689
경기도 파주시 법원읍 사임당로 835-1 ,C,0,,법원중앙외과의원,031-959-1112,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1400,0900,,,,,37.84927690058091,126.87369441011567
"인천광역시 계양구 장제로 808, 3층 (계산동)",C,0,그랜드마트 바로 옆,계양장문외과의원,032-545-7899,,1800,0900,1800,0900,2100,0900,1800,0900,1800,0900,1500,0900,,,,,37.53986661625711,126.73507131182728
인천광역시 계양구 계양대로 214 (계산동),C,0,계산삼거리 KFC 건물 4층,계양하루여성외과의원,032-542-6875,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1500,0900,,,,,37.543048354428635,126.72303399543462
"경기도 용인시 기흥구 동백중앙로 283 (중동, 골드프라자)",C,0,,고려외과의원,031-693-5501,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.2780134382,127.1534888395
경기도 용인시 기흥구 중부대로 563 (구갈동),C,0,명문프라자 3층,굿모닝외과의원,031-287-0431,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1600,0900,,,1300,1000,37.27140369030083,127.12573523742397
충청남도 금산군 금산읍 후곤천길  58,C,0,우리집 마트근처/ 금산 을지병원 바로 옆 붙어 있음 ,금산송외과의원,041-754-7552,,1830,0830,1830,0830,1830,0830,1830,0830,1830,0830,1300,0830,,,,,36.105886111111111,127.488713888888896
경기도 이천시 영창로 214,C,0,,연세학운외과의원,031-631-7175,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1530,0900,,,,,37.280678896142405,127.44639826106426
충청북도 옥천군 옥천읍 삼양로 96,C,0,,삼성외과의원,043-732-5975,,1800,0800,1800,0800,1800,0800,1800,0800,1800,0800,1300,0800,,,,,36.303038888888892,127.569683333333330
