주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도
"인천광역시 중구 우현로 47, 4층 (신포동)",C,0,우현로 신포시장 주변,연세참가정의학과의원,032-766-0075,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1400,0900,,,,,37.47150053473876,126.62814498755108
경상북도 안동시 길주길 93  (용상동),C,0,"용상현대아파트 입구, 대백마트2층",안형우가정의학과의원,054-822-7582,,1900,0830,1900,0830,1900,0830,1900,0830,1900,0830,1400,0830,,,,,36.554709689989096,128.76209651928147
경상남도 창원시 성산구 창이대로 733  (사파동),C,0,사파동성A상가 A동,삼성가정의학과의원,055-264-8275,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.2196161712897,128.70212375070255
"경상남도 창원시 성산구 마디미서로 51, 4층 401호 (상남동, 서울메디칼빌딩 4층 401호)",C,0,,이곤희가정의학과의원,055-242-7931,,1830,0930,1830,0930,2000,0930,1830,0930,1830,0930,1400,0930,,,,,35.220726564757356,128.68130742033247
"경상남도 창원시 성산구 대정로 73  (남양동, 성원1차아파트)",C,0,성원1차상가 3층,대화이비인후과가정의학과의원,055-285-3501,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1230,0900,,,,,35.210774847935504,128.7009993574934
"경상남도 창원시 의창구 도계로 57 (도계동, 도계중앙빌딩)",C,0,도계초등학교 부근,백승호가정의학과의원,055-288-7588,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1400,0900,,,,,35.2594958176,128.6377665059
"경기도 과천시 별양상가1로 35, 상아빌딩동 2층 (별양동, 201-C호, 202호)",C,0,,연세가정의학과의원,02-3679-9397,,1830,0830,1830,0830,1830,0830,1830,0830,1830,0830,1400,0830,,,,,37.42854487983028,126.99356004363643
"충청남도 서산시 시장6로 37, 2층 (동문동)",C,0,,연세다온가정의학과의원,041-663-1532,,1900,0800,1900,0800,1900,0800,1900,0800,1900,0800,1500,0800,,,,,36.7829533008,126.4577861809
전라남도 여수시 거북선공원1길 26-1 (학동),C,0,여수우체국 옆,김윤봉신경과서인완가정의학과의원,061-681-8000,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600,0900,,,1300,0830,34.76266488554167,127.66556516258817
부산광역시 사하구 제석로 68,C,0,버스정류장: 당리시장,박가정의학과의원,051-747-2283,,1900,0930,1900,0930,1900,0930,,,1900,0930,1600,0930,1600,0930,,,35.10647956329751,128.9754253603684
충청남도 서산시 안견로 174 (동문동),C,0,,성모가정의학과의원,041-665-2937,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,36.78278574315326,126.45892301164619
"경기도 동두천시 삼육사로 1007 , 2층 (생연동",C,0,,수가정의학과의원,031-858-9998,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.89943919444987,127.06177896430684
경기도 파주시 와석순환로 431,C,0,,가온삼성가정의학과의원,031-945-0050,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400,0900,,,,,37.72364362776613,126.75322371071886
경기도 파주시 문화로 65,C,0,,연세가정의학과의원,031-946-0115,,1900,0900,1900,0900,1300,0900,1900,0900,1900,0900,1700,0900,,,1300,0900,37.760339897257744,126.77571611892508
경기도 파주시 법원읍 술이홀로 887,C,0,,한샘가정의학과의원,031-959-8001,,1900,0900,1900,0900,1900,0900,1300,0900,1900,0900,1300,0900,,,,,37.85037298395067,126.8736835777546
"경기도 파주시 문산읍 독서울1길 14, 선유프라자 2층",C,0,,서울가정의학과의원,031-937-8275,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400,0900,,,,,37.86586064795829,126.80444186608071
"경기도 파주시 조리읍 대원로 66, 215호 (동문그린씨티아파트상가)",C,0,,성모가정의학과의원,031-948-5001,,1800,0900,1800,0900,1300,0900,1800,0900,1800,0900,1300,0900,,,,,37.7283262825823,126.81490443185538
"경기도 파주시 미래로 537, 201호 (목동동, 현대1차단지상가)",C,0,,신아가정의학과의원,031-957-0342,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1300,0900,1300,0900,1300,0900,37.72534315725897,126.75081757402496
"경기도 용인시 기흥구 중부대로788번길 22, 2층 3.4호 (상하동, 쌍용아파트주상가동)",C,0,,우리가정의학과의원,031-304-8275,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1300,0900,,,,,37.25571799669642,127.14334003599544
"경기도 용인시 기흥구 새천년로 18, 301호 (신갈동, 스카이프라자)",C,0,용인면허시험장맞은편,우리들가정의학과의원,031-275-3210,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1300,0900,,,,,37.28909663940944,127.11118536080423
경기도 용인시 기흥구 사은로126번길 6,C,0,신원프라자 203호,장혜원가정의학과의원,031-286-9914,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.25522992534789,127.11832391040657
인천광역시 계양구 황어로 120 (장기동),C,0,"계양초등학교 후문, 농협 위쪽 장기약국 건물 2층.",성모가정의학과의원,032-511-9940,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1300,0900,,,,,37.57928408144347,126.73415959454303
인천광역시 계양구 안남로 568 (효성동),C,0,효성동 2번 버스 종점 주변.,조태민가정의학과의원,032-548-7575,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1530,0900,,,,,37.533659132638775,126.71029862276391
"경기도 용인시 기흥구 덕영대로2077번길 16, 302호 (영덕동, 기흥대정프라자)",C,0,,가정이편한가정의학과의원,031-284-0775,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600,0900,,,,,37.268194537692494,127.0965658085754
"경기도 용인시 기흥구 용구대로 2398 (마북동, 연원마을벽산아파트 상가동304호)",C,0,,김희연가정의학과의원,031-285-5548,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.30036757203869,127.10733583540957
"경기도 용인시 기흥구 기흥역로58번길 10, 2동 B105.B106호 (구갈동, 기흥역센트럴푸르지오)",C,0,,서울S가정의학과의원,031-526-1007,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.27409549116352,127.11927231060427
"경기도 용인시 기흥구 구성3로28번길 32 (청덕동, 일월프라자 302, 303호)",C,0,구성택지개발지구,아이앤미가정의학과의원,031-286-5588,,1930,0900,1930,0900,1930,0900,1930,0900,1930,0900,1500,0900,,,1300,1000,37.296441008390886,127.15213684905038
"경기도 용인시 기흥구 마북로 152, 2층층 (마북동, 포대빌딩)",C,0,,양가정의학과의원,031-287-8075,,1830,0900,1830,0900,1830,0900,1300,0900,1830,0900,1300,0900,,,,,37.303238888888892,127.124461111111117
