주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도
제주특별자치도 제주시 애월읍 하귀로 37,C,0,<하귀초등교 건너편>,삼다중앙의원,064-742-7517,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1200,0900,1000,0900,1000,0900,33.48031294107582,126.40114338596649
"제주특별자치도 제주시 만덕로3길 2, 1층 (건입동)",C,0,,노동의원,064-722-5802,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1230,0900,,,,
제주특별자치도 제주시 중앙로 373 (이도이동),B,0,,제주우리병원,064-1899-6265,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,33.488898157301506,126.53959118759364
"인천광역시 중구 큰우물로 21 (용동, 지하1층, 1층, 3~5층, 8층)",B,0,동인천역 맞은편,가천대부속 동인천길병원,032-770-1331,,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1200,0800,,,,,37.473713638875175,126.63138306268192
"인천광역시 중구 하늘별빛로65번길 7-9, 3층, 4(일부)층 (중산동)",B,0,,영종국제병원,032-721-3000,,2200,0900,2200,0900,2200,0900,2200,0900,2200,0900,1800,0900,,,,,37.48847125467195,126.56466845236999
인천광역시 중구 우현로 61-1 (내동),C,0,경동사거리 가기전 제이케이비비티슈 주변 휠라매장 2층,김의원,032-772-4346,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1500,0900,,,,,37.47273489420903,126.62899916699302
"인천광역시 중구 하늘달빛로 94, 스타타워 501,503,504호 (중산동)",C,0,,로하스의원,032-715-6977,,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,1700,0900,,,1700,0900,37.4872984731,126.5574795085
인천광역시 중구 연안부두로33번길 36 (항동7가),C,0,연안부두 인천종합어시장 맞은 편 비치아파트상가,송재현가정의원,032-887-5775,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1400,0900,,,,,37.45356685377643,126.6057668829785
인천광역시 중구 도원로7번길 11 (신흥동3가),C,0,신흥시장입구 버스정류장부근,신흥메디칼의원,032-885-7582,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600,0900,,,,,37.4655416749554,126.63579320254618
"인천광역시 중구 하늘중앙로195번길 14, 이은스퀘어 302호 (중산동)",C,0,,에스오디21의원,032-751-9676,,1800,1000,1800,1000,1800,1000,1800,1000,1800,1000,1500,1000,,,,,37.489354235775316,126.5607736269969
"인천광역시 중구 공항로424번길 66 (운서동, 엘지인천공항에클라트 비111호, 비112호 )",C,0,,연세공항의원,032-751-6119,,1800,0920,1800,0920,1800,0920,1800,0920,1800,0920,1400,0920,,,,,37.43903817074737,126.46164706669143
인천광역시 중구 연안부두로33번길 16 (항동7가),C,0,라이프쇼핑센타 1층,연안의원,032-888-0033,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,37.45423035229265,126.60384078926529
"인천광역시 중구 영종대로 100 (운서동, 신성하우스빌 5층)",C,0,,영종삼성의원,032-752-8275,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.49488711295366,126.49008378021005
"인천광역시 중구 공항서로512번길 478, 지하1층 (운서동)",C,0,인천국제공항 내,인천국제공항 제2공항의원,032-743-7080,,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1500,0830,1500,0830,1500,0830,37.47840280609999,126.42500785380001
인천광역시 중구 공항로 272 (운서동),C,0,인천국제공항 지하1층,인천국제공항의원,032-743-3119,,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,37.44933035204072,126.45053871770656
