주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도
"경상남도 양산시 덕계로 61, 2층 (덕계동)",C,0,,더바른내과의원,055-785-5888,,1830,0830,1830,0830,1830,0830,1830,0830,1830,0830,1500,0830,1300,0830,1300,0830,35.37370635793123,129.1503135394772
"경상남도 창원시 성산구 상남로 118, 5층 501호 (상남동, CNN타워)",N,0,,처음부터구강내과치과의원,055-282-9090,,1800,0930,2030,0930,1800,0930,2030,0930,1800,0930,1630,0900,,,,,35.22346623405136,128.68312556186754
"인천광역시 중구 제물량로 65, 3층 (신흥동3가)",C,0,신흥시장정문건너편 우리약국3층,김훈수내과의원,032-889-3378,,2000,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600,0900,,,,,37.46597933729071,126.63484382303659
인천광역시 중구 서해대로 476  (유동),C,0,율목동사무소 맞은편 큰사랑약국 부근,삼성내과의원,032-762-1137,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600,0900,1300,0900,1300,0900,37.46838379925114,126.63627300335719
"인천광역시 중구 우현로39번길 2, 2층 (신포동)",C,0,가톨릭회관 앞,신포김내과의원,032-777-0902,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.47094092348969,126.62783123322404
"인천광역시 중구 신도시남로 137, 2~3층 (운서동)",C,0,신도시 남로 국민은행 인근,온누리내과의원,032-747-0470,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.49367613702797,126.49007390040997
인천광역시 중구 축항대로86번길 38 (항동7가),C,0,라이프아파트 맞은편,이재준내과의원,032-883-6347,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1600,0900,,,,,37.4536719258558,126.60485766303674
인천광역시 중구 흰바위로 31  (운서동),C,0,흰바위로 인천운서우체국 옆 에어로씨티B/D 201호,주내과의원,032-751-7582,,1800,0900,1800,0900,1300,0900,1800,0900,1800,0900,1300,0900,,,,,37.49274875331695,126.48846241231033
인천광역시 중구 하늘별빛로 71  (중산동),C,0,,편안내과의원,032-747-2236,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600,0900,,,,,37.48951057425082,126.5632024449348
전라북도 순창군 순창읍 순창로 225-10,C,0,중앙도로사거리에 위치,류재규내과의원,063-653-5885,,1730,0800,1730,0800,1200,0800,1730,0800,1730,0800,1200,0800,1200,0800,1200,0800,35.3756250747908,127.14296712321394
전라북도 순창군 순창읍 장류로 333,C,0,"순창 버스터미널에서 광주 방향 500m,다나약국 2층",문희식내과의원,063-653-0952,,1730,0830,1730,0830,1300,0830,1730,0830,1730,0830,1300,0830,,,,,35.376997222222222,127.138766666666669
전라북도 순창군 순창읍 장류로 355,C,0,순창군 터미널 건물 2층,참조은내과의원,063-652-1616,,1700,0730,1700,0730,1200,0730,1700,0730,1700,0730,1200,0730,,,,,35.376769842281796,127.1411985582602
전라북도 순창군 순창읍 옥천로 60,C,0,순창터미널 전주방향으로 50m,최선영내과의원,063-653-5301,,1730,0830,1730,0830,1200,0830,1730,0830,1730,0830,1200,0830,,,,,35.3779160953,127.1413986478
경상남도 창원시 의창구 사화로 6 (팔용동),B,0,창원역 맞은편,굿모닝내과병원,055-265-2800,,1800,0830,1800,0830,1800,0830,1800,0830,1800,0830,1500,0830,1230,0830,,,35.25730747116472,128.6085745418386
"경상남도 창원시 성산구 상남로 73 (상남동, 서울메디컬빌딩6,7층)",B,0,"우체국 부근, 창원고용센터맞은편",상남굿모닝내과병원,055-266-7582,,1830,0800,1830,0800,1830,0800,1830,0800,1830,0800,1400,0800,1200,0800,,,35.22071938204168,128.6799055660076
"경상남도 창원시 성산구 반송로 150, 301호(반림동,회성빌딩)",C,0,교통문화연수원 맞은편,21세기내과의원,055-282-3339,,1830,0900,1830,0900,1830,0900,1230,0900,1830,0900,1300,0900,,,,,35.23602209127144,128.67180743795703
"경상남도 창원시 성산구 가음로 88, 3~6층 (가음동)",C,0,,가온내과의원,055-282-8511,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,35.2054156396,128.703039964
"경상남도 창원시 의창구 북면 감계로 300, 3층 302, 303호",C,0,감계 휴먼빌 아파트 맞은편 3층,감계삼성내과의원,055-292-6800,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.301941741277794,128.5936321888937
"경상남도 창원시 의창구 천주로 24, 2층 (서상동)",C,0,흥한웰가아파트 맞은편,강내과의원,055-295-7838,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.2640680788,128.6183873426
경상남도 창원시 의창구 원이대로189번길 38,C,0,명서시장 안,김건용내과의원,055-273-7711,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.249247791056476,128.64633539168398
경상남도 창원시 의창구 반계로 98  (팔용동),C,0,원풍 벽산 상가,김내과의원,055-297-7636,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.253719591355974,128.61650211797343
경상남도 창원시 성산구 원이대로473번길 13  (반림동),C,0,반송파출소 부근,김선경외과박찬모내과의원,055-283-6700,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1230,0900,,,,,35.2352915516588,128.6699025556609
"경상남도 창원시 성산구 대정로 102, 302호(남양동,개나리3차아파트상가)",C,0,개나리3차상가,김준욱내과의원,055-287-3366,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1230,0930,,,,,35.211150298076554,128.70398443050527
경상남도 창원시 성산구 가양로124번길 17-16  (대방동),C,0,모란산부인과 부근 동진메디칼 2층,삼성내과의원,055-285-1613,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.20785884774854,128.70815055074164
"경상남도 창원시 성산구 마디미로21번길 17, 상남동피아노빌딩 6층 601호 (상남동)",C,0,,상남더맑은내과의원,055-274-1088,,1830,0830,1830,0830,1830,0830,1830,0830,1830,0830,1330,0830,,,,,35.2216854739,128.6862297579
경상남도 창원시 의창구 원이대로285번길 6 (봉곡동),C,0,,세종내과영상의학과의원,055-277-5700,,1930,0800,1930,0800,1930,0800,1930,0800,1930,0800,1400,0800,,,,,35.24267127496816,128.65172155191757
