주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도
경상남도 창원시 의창구 원이대로285번길 5 (봉곡동),C,0,"탐앤탐스, OK메디컬빌딩 건물",옥광휘신경외과의원,055-250-6000,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1300,0900,,,,,35.242978961712794,128.65109942735103
"경상남도 창원시 의창구 소계로90번길 3-1, 1층(소계동,일산빌딩)",C,0,농협소계지점 부근,청솔신경과의원,055-251-0234,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,1300,0900,35.25743333333333,128.59932777777803
경상남도 창원시 의창구 읍성로 23-3 (서상동),C,0,,다나신경외과의원,055-603-8275,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.2651166975354,128.62030260096583
"경상남도 창원시 성산구 가양로124번길 17-12 (대방동, 실로암빌딩)",C,0,남창원농협 대남지점부근,박창현신경외과의원,055-275-7588,,1800,0900,1800,0900,1800,0900,1230,0900,1800,0900,1230,0900,,,,,35.20781332133448,128.70786877585408
"경기도 과천시 새술막길 39, 5층 (중앙동, KT스마트타워 5층 일부)",C,0,,이은신경외과의원,02-578-9336,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1430,0900,,,,,37.429442188358365,126.99173413474776
"경기도 과천시 별양상가1로 31 (별양동, 제일상가 307호~309호)",C,0,제일상가 307호~309호,한동환신경외과의원,02-502-7582,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1400,0900,,,,,37.428699833994194,126.99318944848403
"충청남도 서산시 안견로 178, 1층 (동문동)",C,0,삼성생명 건물 맞은편,우리연세신경외과의원,041-681-3011,,1800,0800,1800,0800,1800,0800,1800,0800,1800,0800,1230,0800,,,,,36.782487610137906,126.45914916165268
충청남도 서산시 안견로 194 (동문동),C,0,버스터미널 후문 오른쪽,미래신경외과의원,041-667-7001,,1800,0800,1800,0800,1800,0800,1800,0800,1800,0800,1200,0800,,,,,36.781200557821926,126.45908653558575
"경기도 동두천시 큰시장로 42, 고려빌딩 5층 (생연동)",C,0,,서울에이스신경외과의원,031-861-7511,,1830,0830,1830,0830,1830,0830,1830,0830,1830,0830,1400,0830,,,,,37.900531769792366,127.05310231593593
"경기도 파주시 금빛로 24-27, 6층 (금촌동, 제일메디컬)",C,0,,늘푸른신경외과의원,031-943-1141,,2000,0900,2000,0900,2000,0900,1900,0900,1900,0900,1500,0900,,,,,37.75196817686931,126.76830393261457
"경기도 파주시 교하로 87, 삼성프라자 401호 (목동동)",C,0,,운정아산신경외과의원,031-935-4005,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1330,0930,,,,,37.727634347178956,126.73392740774979
경기도 파주시 문산읍 문향로67번길 2 3층 (중앙빌딩),C,0,,임재환신경과의원,031-953-8089,,1800,0840,1800,0840,1800,0840,1800,0840,1800,0840,1300,0840,,,1300,0900,37.858143522824605,126.78503531965207
경기도 파주시 문화로 111-1  (금촌동),C,0,,필신경과의원,031-945-9989,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400,0900,,,,,37.764146143822515,126.77415655202641
경기도 파주시 경의로 1821 2층 (아동동),C,0,,한마음신경외과의원,031-946-0032,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.76834342402418,126.7772962758282
"경기도 파주시 미래로 371, 씨티타워 402호 (동패동)",C,0,,본신경외과의원,031-949-1011,,1900,0900,2030,0900,1900,0900,1900,0900,2030,0900,1500,0900,,,,,37.7111732653732,126.74599356755216
충청남도 금산군 금산읍 비선길 39,C,0,단위 농협 근처 꽃아저씨 바로 윗층(2층) ,푸른신경과의원,041-753-3456,,1730,0830,1730,0830,1200,0830,1800,0830,1730,0830,1300,0830,,,,,36.10234059106747,127.49015080972918
경기도 용인시 기흥구 동백중앙로 356 (동백동),C,0,,참바른신경외과의원,031-284-5007,,1900,0900,2100,0900,1900,0900,1900,0900,1900,0900,1400,0900,,,,,37.28241682362245,127.15961405342757
"인천광역시 계양구 경명대로 1138, 2층 (계산동)",C,0,주공아파트정문,안창호신경외과의원,032-546-6870,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.54273460074782,126.73334420064961
인천광역시 계양구 계양대로 55 (작전동),C,0,한마음병원 옆건물,홍도신경외과의원,032-546-2000,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1300,0930,,,,,37.5287455332729,126.72210489652285
"인천광역시 계양구 장제로 916, 2층 (병방동)",N,0,계양병원 건물 2층.,신경하치과의원,032-549-3581,,1800,0930,1800,0930,1800,0930,1800,0930,1800,0930,1300,0930,,,,,37.548162389158634,126.74150404254401
