주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도

대구광역시 중구 명덕로 63-1,C,0,,대명이비인후과의원,053-254-0862,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1230,0900,,,1230,0900,35.85875323054342,128.5779248326816

대구광역시 달성군 다사읍 달구벌대로 805,C,0,,이이비인후과의원,053-593-7533,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1630,0900,,,1300,0900,35.86272116067811,128.45954479019238

"대전광역시 중구 목중로 50, 중촌동제일프라자 4층 406호 (중촌동)",C,0,,햇살이비인후과의원,042-721-2795,,1830,0830,1830,0830,1830,0830,1830,0830,1830,0830,1330,0830,,,,,36.33784007395916,127.40961581540661

"인천광역시 중구 신도시남로 137 (운서동,화평빌딩 207호,208호일부)",C,0,국민은행 건물4층,베스트이비인후과의원,032-752-7582,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1300,0900,,,,,37.493724266526414,126.49016292601297

"인천광역시 중구 하늘별빛로 75, 3층 (중산동)",C,0,,수이비인후과의원,032-751-8274,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1430,0900,,,,,37.48978706487811,126.56281093598478

"인천광역시 중구 우현로 75 (인현동,명훈빌딩 5층)",C,0,대한서림에서 신포동방면 눈편한안과 건물 5층,열린이비인후과의원,032-765-7510,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,37.47389497649932,126.62972938606215

"인천광역시 중구 하늘달빛로 94, 스타타워 4층 405~6호 (중산동)",C,0,,영종바른이비인후과의원,032-751-5075,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,1300,0900,,,37.48729847305802,126.55747950852407

인천광역시 중구 우현로 63  (내동),C,0,신포동 경동사거리,이용화이비인후과의원,032-762-8017,,1800,1000,1800,1000,1800,1000,1800,1000,1800,1000,1500,1000,,,1230,1000,37.47288407315035,126.6289889536756

"인천광역시 중구 흰바위로 41, 2층 (운서동)",C,0,흰바위로 사거리 미스터피자 건물 2층,참이비인후과의원,032-746-7578,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600,0900,,,1300,0900,37.492740132637444,126.4894786917583

제주특별자치도 제주시 연북로 38 (노형동),C,0,롯데마트 동측 신한은행 옆,신제주이비인후과의원,064-713-7512,,1800,0830,1800,0830,1800,0830,1800,0830,1800,0830,1230,0830,,,1200,0830,33.48159029881437,126.48540004707164

"경상남도 창원시 성산구 상남로 73 (상남동, 서울메디컬빌딩8,9,10층(1002호))",B,0,코아상가 맞은편,서울이비인후과병원,055-282-2800,,1830,0900,1830,0900,1830,0900,1830,0930,1830,0900,1500,0900,,,,,35.22054664174225,128.67988443725991

"경상남도 창원시 의창구 창이대로309번길 7, 2층(봉곡동,중앙상가)",C,0,대동 그린코아 맞은편,곽이비인후과의원,055-237-8073,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.246713888888891,128.670763888888899

경상남도 창원시 성산구 가양로124번길 17-12,C,0,하나로마트 옆,구교준이비인후과의원,055-261-6836,,1800,0920,1800,0920,1800,0920,1800,0920,1800,0920,1230,0920,,,,,35.207808814430315,128.70786401180058

경상남도 창원시 의창구 의안로31번길 28-10,C,0,동창원농협 맞은편,김서규이비인후과의원,055-293-5500,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.264857757093935,128.62115363640189

경상남도 창원시 의창구 팔용로 439,C,0,"드림피아상가 근처, 동사무소 부근, 이노티안경 2층",삼성이비인후과의원,055-253-3535,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.255858294289396,128.6131824938153

경상남도 창원시 성산구 동산로 124  (상남동),C,0,대동백화점 부근 성원주상가 524호,소리사랑이비인후과의원,055-264-9990,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1400,0900,,,,,35.21914523518064,128.6914789537386

"경상남도 창원시 의창구 도계로 63  (도계동, 중앙상가연립)",C,0,새마을 금고 옆,소병헌이비인후과의원,055-277-0556,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1300,0930,,,,,35.258971238834356,128.63827807771864

"경상남도 창원시 의창구 북면 감계로 306, 2층 201호",C,0,,시원이비인후과의원,055-296-7582,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1330,0900,,,,,35.3019615899,128.5943141715

경상남도 창원시 의창구 원이대로 283  (봉곡동),C,0,명곡사거리 부근,연세이비인후과의원,055-238-2146,,1830,0900,1830,0900,1830,0900,1300,0900,1830,0900,1300,0900,,,,,35.2427256726646,128.65116899661834

경상남도 창원시 성산구 반송로 150  (반림동),C,0,교통문화연수원 맞은편,우리이비인후과의원,055-283-8400,,1850,0900,1850,0900,1850,0900,1850,0900,1850,0900,1400,0900,,,,,35.23597533132559,128.671814651283

경상남도 창원시 성산구 반송로 144  (반림동),C,0,반송초등학교 맞은편 수영빌딩 302호,웅이비인후과의원,055-262-7585,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1500,0900,,,1300,0900,35.23605765214097,128.6710737984371

경상남도 창원시 의창구 원이대로 587,C,0,정우상가,윤종즙이비인후과의원,055-287-8667,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1200,0900,,,,,35.22842165681916,128.67947989672732

"경상남도 창원시 성산구 원이대로 666 (상남동, 금강빌딩)",C,0,창원메디칼빌딩 부근,이길수이비인후과의원,055-267-8400,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400,0900,,,,,35.22369884435577,128.6860957093876

경상남도 창원시 성산구 동산로 124  (상남동),C,0,대동백화점 앞,최성근이비인후과의원,055-263-9064,,1830,0910,1830,0910,1830,0910,1830,0910,1830,0910,1300,0910,,,,,35.2195791640312,128.69138252288275

"경상남도 창원시 성산구 가음로13번길 33 (남양동, 남양상가304호)",C,0,남양동 동사무소 부근,최이비인후과의원,055-266-1861,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.213044444444442,128.700958333333347

경상남도 창원시 성산구 동산로 124  (상남동),C,0,대동백화점 맞은편 (성원 주상가),탁이비인후과의원,055-261-1830,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,1300,0900,35.219370742247435,128.691593449779

전라남도 영광군 영광읍 옥당로 150,C,0,파머스마켓 건너편 그린산부인과 3층,우리이비인후과의원,061-353-7942,,1700,0800,1700,0800,1230,0800,1700,0800,1700,0800,1200,0800,,,,,35.275471502954375,126.50164710309117

"경상남도 창원시 의창구 원이대로 591, X프리빌딩 5층 (용호동)",C,0,,플러스이비인후과의원,055-802-8200,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400,0900,,,,,35.228124309925406,128.6799707226962

"경상남도 창원시 성산구 동산로 124 (상남동, 성원주상가)",C,0,대동백화점 부근,하나이비인후과의원,055-275-7582,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,1300,0900,35.21934283843898,128.69161524930328

경상남도 창원시 의창구 팔용로 428 (팔용동),C,0,,문영일이비인후과의원,055-251-3542,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400,0900,,,,,35.254782372174766,128.61295090687636

