주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도
"광주광역시 동구 충장로안길 44, 2~3층 (황금동)",C,0,,강남더뷰티-투엠성형외과의원,062-227-3777,,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,,,,,,,35.14653425587558,126.91736199245705
인천광역시 중구 우현로 34  (답동),C,0,신포시장 건너편 현대 자동차 2층,김원택성형외과의원,032-761-6111,,1730,1000,1730,1000,1730,1000,1730,1000,1730,1000,1330,1000,,,,,37.47035112714341,126.62805648063903
"인천광역시 중구 개항로 60-1, 2층 (경동)",C,0,"경동파출소 근처, 경동프라자 건물",정원진성형외과의원,032-763-5505,,1800,1100,1800,1100,1800,1100,1800,1100,1800,1100,1300,1100,,,,,37.47206965057716,126.62919011295366
경상남도 창원시 성산구 원이대로682번길 14  (상남동),C,0,한마음병원 공용주차장 부근,S성형외과의원,055-289-0300,,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1700,1000,,,,,35.22208269512236,128.6866021694216
경상남도 창원시 의창구 원이대로 587,C,0,정우상가,성민성형외과의원,055-261-3200,,1800,0930,1800,0930,1800,0930,1800,0930,1800,0930,1200,0930,,,,,35.228410784441245,128.67948406614155
경상남도 창원시 성산구 마디미동로 31 6층 (상남동),C,0,,셀럽성형외과의원,055-284-8333,,1900,1000,2100,1000,1900,1000,1900,1000,2100,1000,1600,1000,,,,,35.2206519227,128.6853781131
경상남도 창원시 성산구 상남로 118,C,0,정우상가부근,아인성형외과의원,055-286-6565,,1900,1000,2000,1000,1900,1000,1900,1000,2000,1000,1500,1000,,,,,35.22346497495129,128.68311631601526
"경상남도 창원시 성산구 마디미로22번길 12, 4층 (상남동, 노블레스상가)",C,0,,다니엘성형외과의원,055-284-0912,,1900,1000,2100,1430,1900,1000,1900,1000,2100,1000,1400,1000,,,,,35.22321964565164,128.68348948547035
경상남도 창원시 성산구 상남로 132 (상남동),C,0,우리은행 창원지점 옆,레드성형외과의원,055-287-4825,,1900,1000,2100,1000,1900,1000,1300,1000,2100,1000,1600,1000,,,,,35.22447133659593,128.68395026267646
"경상남도 창원시 성산구 마디미서로 54, (상남동.미래메디컬 10층 리얼성형외과)",C,0,,리얼성형외과의원,055-289-8626,,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1600,1000,,,,,35.22086185429734,128.68091045477837
