주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도
인천광역시 중구 참외전로72번길 21,R,0,동인천동 주민센터 뒷편 (동인천역 13번 출구 도보 5분거리),인천광역시중구보건소,032-760-6001,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,37.47713217008431,126.62866940743884
인천광역시 중구 운남서로 100-1 (운남동),R,0,,인천광역시중구영종용유보건센터,032-760-6800,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,37.4937298094818,126.53107711884465
인천광역시 중구 마시란로 308-13 (남북동),R,0,,인천광역시중구용유보건지소,032-760-8991,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,37.443628716083374,126.40266439812797
인천광역시 중구 대무의로 310-11,R,0,,인천광역시중구무의보건진료소,032-760-3555,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,37.389741803256776,126.4248360407899
전라남도 신안군 영산길 71-3 (흑산면) ,R,0,흑산초등학교 근처,흑산면영산도보건진료소,061-275-9964,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,34.65203145466019,125.46703313423154
전라남도 신안군 흑산면 장도길 51-1,R,0,내연 발전소 근처 ,흑산면장도보건진료소,061-275-0357,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,34.67938533455031,125.37811164025211
전라남도 신안군 흑산면 장굴길 49-2,R,0,,흑산면태도보건진료소,061-246-2762,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,34.390719565252375,125.29860362272294
전라남도 무안군 운남면 항장길 3  ,R,0,"전남무안군 운남면 항장길 3. 
무안공항 고속도로에서 운남면 성내리쪽",성내보건진료소,061-452-4709,,1800,0800,1800,0800,1800,0800,1800,0800,1800,0800,,,,,,,34.93388779129966,126.32975387326078
전라북도 순창군 구림면 방화로 7,R,0,구림면사무소에서 정읍방향300m,구림보건지소,063-650-5594,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.45223281929412,127.10081614871043
전라북도 순창군 금과면 매우1길 15 ,R,0,금과면사무소 옆,금과보건지소,063-650-5576,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.34014492072234,127.08587067011372
전라북도 순창군 동계면 동계1길 15,R,0,동계면사무소 옆,동계보건지소,063-650-1864,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.441395859764704,127.2429442185136
전라북도 순창군 복흥면 추령로 1141,R,0,복흥 파출소 옆에위치.,복흥보건지소,063-650-5585,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.431063343987084,126.93086316228385
전라북도 순창군 쌍치면 삽실길 9,R,0,쌍치면사무소 뒤,쌍치보건지소,063-650-1875,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.49968753570636,127.00212831459086
전라북도 순창군 유등면 외이2길 3 ,R,0,유등면 외이리 유등복지회관옆에 위치,유등보건지소,063-650-5572,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.361144985613855,127.18657896699268
전라북도 순창군 인계면 인덕로 222,R,0,전주가는 방면에 위치,인계면보건지소,063-650-5564,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.41122834410037,127.14194599011033
전라북도 순창군 적성면 적성로 116 (적성보건지소),R,0,적성노인회관 옆,적성보건지소,063-650-5571,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.39650804091725,127.20683866327933
전라북도 순창군 팔덕면 강천로 329 ,R,0,팔덕면사무소 정문 앞,팔덕보건지소,063-650-5578,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.39127447999554,127.09674688562063
전라북도 순창군 풍산면 금풍로 1006-1,R,0,풍산면사무소옆. 풍산초교 맞은편,풍산보건지소,063-650-5575,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.33646650309892,127.13795786615935
전라북도 순창군 동계면 귀미2길 9-10,R,0,구미교회 옆 위치,구미보건진료소,063-650-5283,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.44463903093788,127.21102309480342
전라북도 순창군 쌍치면 피노길 26-1 ,R,0,피노마을 경로당 앞,금국보건진료소,063-650-5294,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.52462777607315,127.01359621862912
전라북도 순창군 구림면 금평길 4-2 ,R,0,구림면에서 회문산 방향  00km에 위치,금평보건진료소,063-650-5296,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,35.4763074151678,127.10654497125405
전라북도 순창군 동계면 내령길 73-16 ,R,0,동계면사무소에서 내령리방향으로 5분정도,내령보건진료소,063-650-5281,,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,35.44465496858254,127.27451848880365
전라북도 순창군 적성면 내적길 67-17 ,R,0,지북마을 내,내월보건진료소,063-650-5284,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.41956757472452,127.19815060685781
전라북도 순창군 복흥면 순정로 6-3 ,R,0,답동리 안에 답동삼거리,답동보건진료소,063-650-5292,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.449556234676045,126.99107352141075
전라북도 순창군 팔덕면 태촌길 2-1 ,R,0,면사무소에서 좌측방향으로 4Km위치.,덕진보건진료소,063-650-1381,,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,,,,,,,35.374359666939256,127.09044962847885
전라북도 순창군 복흥면 동산길 11 ,R,0,동산초등학교 앞에 위치.,동산보건진료소,063-650-5291,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.45518790251998,126.92181076822537
전라북도 순창군 금과면 목동2길 18 ,R,0,"금과 농협에서 우회전 후 직진, 끝마을안에 위치.",목동보건진료소,063-650-5287,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.326723621977386,127.05182799830521
전라북도 순창군 쌍치면 순정로 1192-4 ,R,0,방산교회 옆.,방산보건진료소,063-650-5293,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.50364558891224,126.94767060331146
전라북도 순창군 동계면 장항길 117 ,R,0,순창군 동계면 소재지와 임실군 삼계면 소재지 중간위치,성동보건진료소,063-650-5282,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.47051637566311,127.27249976726874
전라북도 순창군 풍산면 대가2길 8 ,R,0,순창군 노인요양원 부근,오산보건진료소,063-650-5286,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.35200470413193,127.17451238442942
전라북도 순창군 인계면 대마길 43 ,R,0,대마회관 옆,용마보건진료소,063-650-5278,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.42771360723004,127.16852208770484
전라북도 순창군 구림면 장암길 5-12 ,R,0,순창강천산을 지나서 쌍치국도길 월정저수지 장암교회 옆,월정보건진료소,063-650-5297,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.45002113557775,127.05229025294642
전라북도 순창군 구림면 율북로 93-3 ,R,0,율북교회옆건물,율북보건진료소,063-650-5298,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.45067285607344,127.12985866917331
전라북도 순창군 풍산면 회덕길 11-2 ,R,0,순창읍네에서 약11km에 위치.,풍남보건진료소,063-650-5285,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.31821523389571,127.12877999941632
전라북도 순창군 쌍치면 종암길 41 ,R,0,종암마을 입구,학선보건진료소,063-650-5295,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.53412465112639,126.96757262210792
전라북도 순창군 순창읍 교성로 135 (순창군보건의료원),R,1,,순창군보건의료원,063-650-5322,063-650-5352,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,,,,,,,35.36714953529629,127.14386670292174
"부산광역시 부산진구 황령대로8번길 36, (범천동)",R,0,1호선 범내골 2번 출구,부산광역시부산진구보건소,051-645-4000,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.1462027703238,129.05990913832866
경상남도 창원시 의창구 중앙대로162번길 9 (신월동),R,0,창원중부경찰서 주위,창원시창원보건소,055-225-4000,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.227913888888892,128.685594444444433
경상남도 창원시 의창구 대산면 진산대로355번길 14-9 (대산면보건지소),R,0,주민자치센터 주변,창원시창원보건소대산면보건지소,055-225-5911,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.33236610337177,128.70822895068838
경상남도 창원시 의창구 동읍 용잠로 41,R,0,대산고등학교 주위,창원시창원보건소동읍보건지소,055-225-5891,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.27980195579921,128.68877320969665
경상남도 창원시 의창구 북면 천주로 1093-4,R,0,길곡초등학교 주위,창원시창원보건소북면보건지소,055-225-5901,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.353236111111109,128.633730555555559
경상남도 창원시 의창구 북면 동전무동길 36-7,R,0,동전회관 주변,창원시북면동전보건진료소,055-298-0265,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.316935598349026,128.59577622877973
경상남도 창원시 의창구 동읍 동읍로1187번길 16-4 (봉강보건진료소),R,0,마을회관 옆,창원시창원보건소동읍봉강보건진료소,055-298-0595,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.362699999999997,128.652649999999994
충청북도 옥천군 군북면 이백길 8,R,0,,군북보건지소,043-730-2090,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,36.3298051539951,127.53439997307748
충청북도 옥천군 군서면 성왕로 540,R,0,,군서보건지소,043-730-2080,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,36.27959637757385,127.52770539896532
충청북도 옥천군 동이면 평산길 14,R,0,,동이보건지소,043-730-2020,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,36.28484930910238,127.61944561671143
충청북도 옥천군 안남면 연주길 46,R,0,,안남면보건지소,043-730-2030,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,36.356194704255834,127.6728342238163
충청북도 옥천군 안내면 현리길 66 ,R,0,,안내보건지소,043-730-2040,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,36.39449191184006,127.6624807763452
"충청북도 옥천군 이원면 신흥4길 17-1, 이원보건지소",R,0,,이원면보건지소,043-730-2070,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,36.246561396981285,127.61784015652525
충청북도 옥천군 청산면 지전길 42,R,0,,청산면보건지소,043-730-2060,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,36.345826648661465,127.79289151627526
충청북도 옥천군 청성면 산계길 49,R,0,,청성보건지소,043-730-2050,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,36.32727776595965,127.7594584567855
강원도 양양군 강현면 화채봉길 107 석교보건진료소,R,0,,석교보건진료소,033-673-5805,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,38.123977253001165,128.57067251278846
강원도 양양군 손양면 수산2길 7-1 수산보건진료소,R,0,,수산보건진료소,033-672-2177,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,38.078847485329,128.67077796170216
강원도 양양군 현남면 화상천로 260,R,0,,입암보건진료소,033-671-7528,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,37.92830145511276,128.7688367109406
강원도 화천군 상서면 신월동로 24 ,R,0,강원도 화천군 상서면 봉오리491번지,봉오보건진료소,033-441-7188,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,38.193254139530254,127.59814264691655
경기도 과천시 관문로 69  (중앙동),R,0,,과천시보건소,02-2150-3811,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,37.430202197951694,126.98679436719006
전라남도 여수시 시청서4길 47 (학동) ,R,0,,여수시보건소,061-683-4000,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,34.75872357225222,127.66348544135717
전라남도 여수시 화정면 마파지길 17,R,0,,여수시화정면여자보건진료소,061-666-9574,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,34.75472858590717,127.50116687627701
경상북도 영양군 영양읍 동서대로 82,R,0,,영양군보건소,054-680-5161,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,36.66194440627721,129.11806556496998
"대구광역시 달성군 구지면 과학남로53길 5-3,",R,0,,달성군구지면대암보건진료소,053-614-5390,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.624807278283214,128.3987950234301
경상남도 합천군 합천읍 동서로 39,R,0,,합천군보건소,055-930-3681,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.567777777777778,128.156908333333320
경상남도 합천군 가회면 황매산로 52,R,0,,가회면보건지소,055-930-3784,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.434971328350954,128.03377195244363
경상남도 합천군 덕곡면 율지2길 13-5,R,0,,덕곡면보건지소,055-930-3778,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.61523878097355,128.3594723999784
경상남도 합천군 묘산면 묘산로 173-1 (묘산보건지소),R,0,,묘산면보건지소,055-930-3772,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.65840995596774,128.11302956673435
경상남도 합천군 야로면 향교길 8 (북부보건지소),R,0,,북부보건지소,055-930-3774,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.705010394285964,128.16787448328094
경상남도 합천군 쌍백면 평구3길 14,R,0,,쌍백면보건지소,055-930-3782,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.439733758076436,128.14611971398605
경상남도 합천군 쌍책면 성산우회로 8 (쌍책보건지소),R,0,,쌍책면보건지소,055-930-3777,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.578049736196924,128.28472244360097
경상남도 합천군 율곡면 영전3길 26,R,0,,율곡면보건지소,055-930-3775,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.572759624118454,128.21802446992587
경상남도 합천군 청덕면 동부로 1754,R,0,,청덕면보건지소,055-930-3779,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.5596576791568,128.32199313441026
경상남도 합천군 대양면 대야로 267,R,0,,합천군대양면보건지소,055-930-3781,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.51625530292031,128.17368716325677
경상남도 합천군 가야면 황산3길 8-15,R,0,,합천군보건소(가야면보건지소),055-930-3773,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.76269954386508,128.1387866463063
경상남도 합천군 대병면 신성동길 23,R,0,,합천군보건소(대병면보건지소),055-930-3785,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.52130141625567,128.01460079764507
경상남도 합천군 삼가면 삼가로 299,R,0,,합천군보건소(삼가면보건지소),055-930-3783,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.409246528763006,128.12068562848813
경상남도 합천군 적중면 적중로 101-8,R,0,,합천군보건소(적중면보건지소),055-930-3780,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.54801514809669,128.28007466214177
경상남도 합천군 초계면 초계2길 19,R,0,,합천군보건소(초계보건지소),055-930-3776,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.557413359675294,128.26809676637964
경상남도 합천군 봉산면 김봉길 19 (봉산보건지소),R,0,,합천군봉산면보건지소,055-930-3771,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.626066666666667,128.041883333333345
경상남도 합천군 용주면 황계폭포로 1154-1 (용주보건지소),R,0,,합천군용주면보건지소,055-930-3786,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.540463888888887,128.113599999999991
경상남도 합천군 대병면 서부로 2417,R,0,,대병면병목진료소,055-930-3822,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.54041431813464,127.9890650993973
