주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도
"인천광역시 중구 하늘중앙로195번길 23, 4층 (중산동, 하늘프라자)",C,0,,강남하늘피부과의원,032-752-2227,,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400,1000,,,,,37.48922250763803,126.56218102025853
경상남도 창원시 성산구 동산로 108  (상남동),C,0,대동백화점 맞은편,고운피부과의원,055-264-2644,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1300,0930,,,,,35.21940329918321,128.6915853392175
"경상남도 창원시 의창구 원이대로 595 (용호동, 고운메디컬빌딩)",C,0,창원시청 근처,서울피부과의원,055-261-7007,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1300,0930,,,,,35.2280085054,128.6802626871
경상남도 창원시 성산구 가양로124번길 1 (대방동),C,0,,아름다운피부과의원,055-245-0808,,2000,0900,1900,0900,1900,0900,2000,0900,1900,0900,1500,0900,,,,,35.2092311476,128.7070243948
"경상남도 창원시 성산구 상남로 118, 7층 702호 (상남동, CNN타워 702, 703호)",C,0,롯데백화점 부근,이앤장피부과의원,055-286-1006,,1900,1000,2030,1000,1900,1000,1900,1000,2030,1000,1430,0930,,,,,35.22346491393069,128.68312070780053
경상남도 창원시 의창구 원이대로 587,C,0,정우상가 3층,이재철피부과의원,055-281-3456,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1230,0930,,,,,35.22851088884119,128.6792840349496
"경상남도 창원시 의창구 평산로207번길 4, 5층 501호 (서상동)",C,0,,창원퍼스트피부과의원,055-251-5511,,1900,0930,1900,0930,2000,0930,1900,0930,2000,0930,1500,0930,,,,,35.2601678395,128.6258957125
"경상남도 창원시 성산구 마디미로21번길 17 (상남동, 피아노빌딩 3층)",C,0,한마음병원 맞은편,하얀나라피부과의원,055-285-4885,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1330,0930,,,,,35.22168750119928,128.68624695571833
"경상남도 창원시 성산구 마디미서로 26, 5층 (상남동)",C,0,롯데백화점 부근,화이트라인하얀피부과의원,055-274-8275,,1900,1000,1930,1000,1900,1000,1900,1000,1930,1000,1400,1000,,,,,35.2228357434,128.682580983
"경상남도 창원시 성산구 원이대로 654, 3층(상남동,세인프라자)",C,0,은아아파트 맞은편,맑은피부과의원,055-283-7555,,1930,1000,1930,1000,1930,1000,1930,1000,1930,1000,1500,1000,,,,,35.22435505422048,128.68498684631032
"경기도 과천시 별양상가1로 25, 렉스타운 401호 (별양동)",C,0,,노블피부과의원,02-3679-2175,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1400,0900,,,,,37.42828532656821,126.99253419242038
"경기도 과천시 별양상가3로 5 (별양동, 유니온빌딩 2층 202호, 3층 303호)",C,0,유니온빌딩2층,조은피부과의원,02-503-3118,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1400,0930,,,,,37.426652596833065,126.99114694958405
