주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도
인천광역시 중구 인항로 27 (신흥동3가),A,1,여객터미널 지하1층 5게이트 외환은행 옆,인하대학교의과대학부속병원,032-890-2114,032-890-2301,1630,0800,1630,0800,1630,0800,1630,0800,1630,0800,1130,0800,,,,,37.4584235016321,126.631868269228
인천광역시 중구 답동로30번길 10,A,1,중구선거관리위원회 부근,인천기독병원,032-270-8000,032-270-8300,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,,,,,37.47122873588076,126.63208102847187
경상남도 창원시 성산구 창원대로 721 (중앙동),A,1,내동상가아파트 맞은편(중앙동 사거리),근로복지공단 창원병원,055-280-7777,055-280-0400,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,,,,,35.21861866618743,128.6715437456084
경상남도 창원시 성산구 원이대로682번길 21 (상남동),A,1,시민생활체육관 근처,의료법인한마음국제의료재단한마음창원병원,055-267-2000,055-268-7333,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.22123753251451,128.68661916460525
경상남도 창원시 의창구 창이대로 45 (명서동),A,1,,재단법인대구포교성베네딕도수녀회창원파티마병원,055-270-1000,055-270-1119,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,1240,0900,,,,,35.2372418321,128.6444852768
"경상남도 창원시 성산구 삼정자로 11 (성주동, 창원경상대학교병원)",A,1,,창원경상대학교병원,055-214-1106,055-214-1339,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.19921298418469,128.7078072393552
충청남도 보령시 죽성로 136 (죽정동),A,1,"고속도로 이용 :
대천IC 시내방면으로 15분
철도 이용 :
대천역(장항선) 택시 및 버스 10분 소요",재단법인아산사회복지재단보령아산병원,041-930-5114,041-930-5333,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,,,,,36.38113998244595,126.62282846665184
전라남도 영광군 영광읍 신남로 265,A,1,"삼화장 근처, 영광기독병원 ",의료법인 거명의료재단 영광기독병원,061-350-3000,061-350-3080,1700,0800,1700,0800,1700,0800,1700,0800,1700,0800,1230,0800,,,,,35.274959355007304,126.5108758767997
"제주특별자치도 제주시 도령로 65, (연동)",A,1,,제주한라병원,064-740-5000,064-740-5159,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,1200,0900,,,,,33.489946745300735,126.48507635686154
제주특별자치도 제주시 서광로 193 (삼도일동),A,1,제주시 시외버스터미널 동쪽 사거리,한국병원,064-750-0000,064-750-0119,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,1300,0900,,,,,33.500185921027,126.51698873048466
제주특별자치도 제주시 연신로 52,A,1,,한마음병원,064-750-9000,064-750-9846,1800,0900,1700,0900,1700,0900,1700,0900,1700,0900,1300,0900,,,,,33.4962612399279,126.54622454609037
제주특별자치도 제주시 월랑로 91 (이호이동),A,1,,의료법인 중앙의료재단 중앙병원,064-786-7000,064-786-7119,1800,0900,1700,0900,1700,0900,1700,0900,1700,0900,1300,0900,,,,,33.492346148279836,126.47058708143306
광주광역시 동구 필문대로 365 (서석동),A,1,,조선대학교병원,062-220-3373,062-220-3280,1700,0830,1700,0830,1700,0830,1700,0830,1700,0830,,,,,,,35.13854706991291,126.92683853357782
광주광역시 동구 제봉로 42 (학동),A,1,,전남대학교병원,062-220-5893,062-220-6801,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.141852541291165,126.92158688926376
경기도 안산시 단원구 적금로 123 (고잔동),A,1,입원실 168,고려대학교의과대학부속안산병원,031-412-5653,031-412-5381,1630,0930,1630,0930,1630,0930,1630,0930,1630,0930,1200,0930,,,,,37.31885818300129,126.8250018362211
경기도 안산시 단원구 선부광장로 103 (선부동),A,1,,대아의료재단한도병원,031-8040-1114,031-8040-1119,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,1230,0900,,,,,37.334033447174896,126.80765584591039
경기도 안산시 단원구 원포공원1로 20 (초지동),A,1,,단원병원,031-8040-6600,031-8040-5911,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.3002188172703,126.81357021652913
충청남도 서산시 수석산업로 5 (수석동),A,1,,서산중앙병원,041-661-1000,041-661-1195,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,,,,,36.78101237096687,126.50342177166652
충청남도 서산시 중앙로 149 (석림동),A,1,,충청남도서산의료원,041-689-7000,041-689-7119,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,,,,,,,36.77556877677842,126.46515725738562
광주광역시 북구 하서로 429 (용두동),A,1,,광주희망병원,062-608-6000,062-608-6119,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1230,0900,,,,,35.21344678097714,126.87471568685204
"경기도 파주시 중앙로 207, 경기도립의료원파주병원 (금촌동)",A,1,"파주경찰서, 파주시 노인복지회관 도로 맞은편, G & G 스파 옆",경기도의료원파주병원,031-940-9100,031-940-9129,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,,,,,,,37.7548802103,126.779637936
경기도 군포시 산본로 321 (산본동),A,1,"군포시청 맞은편
4호선 산본역 3번출구 도보 3분",원광대학교의과대학산본병원,031-390-2300,031-390-2345,1700,0830,1700,0830,1700,0830,1700,0830,1700,0830,1230,0830,,,,,37.359787179442414,126.93330716393871
"경기도 용인시 기흥구 중부대로 411, 강남병원 (신갈동)",A,1,,강남병원,031-300-0114,031-300-0129,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.27377983891884,127.11140719951389
경기도 수원시 팔달구 중부대로 93 (지동),A,1,,가톨릭대학교성빈센트병원,031-1577-8588,031-249-7364,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,1200,0800,,,,,37.27792234538125,127.02744945028702
전라북도 군산시 조촌로 149 (조촌동),A,1,,의료법인오성의료재단동군산병원,063-440-0570,063-440-0515,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,,,,,35.97740074466571,126.73719225835914
대구광역시 달서구 달구벌대로 1632 (감삼동),A,1,,더블유병원,053-550-5000,053-550-5019,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.85264247289801,128.54496871658273
