주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도
"인천광역시 중구 신도시남로 137, 화평빌딩 4층 401,402호 (운서동)",C,0,공항신도시 운서동사무소 앞,신제일산부인과의원,032-747-1118,,2000,0930,1800,0930,2000,0930,1800,0930,2000,0930,1500,0930,1300,1000,1300,1000,37.49344469517739,126.48905776688995
인천광역시 중구 참외전로 160-1  (경동),C,0,"동인천역근처. 도원역으로 가는 방면(1-4층, 6층 일부)",아이본산부인과의원,032-772-7474,,1800,0930,1800,0930,1800,0930,1800,0930,1800,0930,1300,0930,,,,,37.47297617527827,126.6342338939634
"인천광역시 중구 하늘달빛로 94, 스타타워 5층 509,510,511호 (중산동)",C,0,,하늘도시산부인과의원,032-746-1236,,2000,0900,1800,0900,2000,0900,1800,0900,2000,0900,1300,0900,1300,0900,,,37.4872984731,126.5574795085
경상남도 창원시 성산구 원이대로 664  (상남동),C,0,은아아파트 정문 맞은편,서울산부인과의원,055-267-2290,,1900,0830,1900,0830,1900,0830,1900,0830,1900,0830,1300,0830,,,1300,0830,35.223811681133185,128.6859218506466
"경상남도 창원시 성산구 원이대로 578 (중앙동, 구트병원 빌딩 701호)",C,0,,센텀산부인과의원,055-275-6336,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1500,0900,,,,,35.2283759608049,128.67794179705297
"경상남도 창원시 의창구 팔용로 442, 4층(팔용동,KB빌딩)",C,0,국민은행 부근,아름다운산부인과의원,055-253-7585,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1300,0930,,,,,35.25571865022753,128.61383526246524
"경상남도 창원시 의창구 서상로 1 (동정동, 엘르메디의원)",C,0,창원역 부근,엘르메디산부인과의원,055-253-2111,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.26236332299207,128.61343410575893
경상남도 창원시 성산구 원이대로883번길 15-24  (가음동),C,0,,윤은숙산부인과의원,055-287-1005,,1700,0900,1700,0900,1300,0900,1700,0900,1700,0900,1300,0900,,,,,35.20792443221409,128.6970704244036
경상남도 창원시 의창구 원이대로 591 (용호동) 3층,C,0,정우상가 옆,이보람산부인과의원,055-262-8223,,1930,0900,1930,0900,1930,1000,1930,0900,1930,0900,1600,0900,1400,1300,1300,1100,35.22812099379244,128.6799487027359
경상남도 창원시 의창구 읍성로 38,C,0,재건교회 부근,최정미산부인과의원,055-252-7553,,1800,1030,1800,1030,1800,1030,1800,1030,1800,1030,1300,1030,,,,,35.264883452328235,128.62219584029543
"경상남도 창원시 의창구 평산로 96 (팔용동, (웰빙프라자309,310호))",C,0,"팔용중학교 맞은편, 심산유곡건물 3층",로즈맘여성산부인과의원,055-253-7722,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1500,0900,1300,1000,1300,1000,35.251459033060435,128.61966708531165
"경상남도 창원시 의창구 원이대로285번길 6, 4,5,6,7,10층 (봉곡동)",C,0,,미즈맘산부인과의원,055-277-5588,,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,1600,0900,1300,1000,1300,1000,35.242606405315186,128.65172023744486
강원도 동해시 한섬로 125 (천곡동),C,0,천곡동 동해보건소 옆,고산부인과의원,033-535-5528,,1740,0900,1740,0900,1740,0900,1740,0900,1740,0900,1500,0900,1300,0900,1600,0900,37.52192290668943,129.11745786613682
경기도 과천시 별양상가1로 35 504호 (별양동),C,0,,고운산부인과의원,02-503-8360,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1400,0930,,,,,37.42854488926825,126.99356454257132
"충청남도 서산시 남부순환로 1025 (예천동, 대명빌딩)",C,0,샤브향 옆건물,엠산부인과의원,041-668-3100,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1400,0900,,,1300,0900,36.76765241624719,126.45218404500957
충청남도 서산시 중앙로 108 (석림동),C,0,의료원 300m,자모산부인과의원,041-663-0055,,1900,0830,1900,0830,1900,0830,1900,0830,1800,0830,,,,,,,36.77704983857076,126.46108522390143
"경기도 남양주시 별내3로 320, 2~5층 (별내동, 센트럴프라자)",C,0,,별내마리산부인과의원,031-564-7373,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,1300,0900,1300,0900,37.6660075522,127.1178157
경기도 동두천시 동두천로 307 (생연동),C,0,,염산부인과의원,031-862-7778,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1200,0900,,,,,37.9090029081115,127.05599215890969
경기도 동두천시 동두천로 216 (생연동),C,0,,제일산부인과의원,031-865-3360,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,37.9008224239,127.0558085885
경기도 동두천시 정장로 34 (생연동),C,0,,해성산부인과의원,031-868-0868,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1500,0900,1300,1000,1300,1000,37.90405083978864,127.05452593514308
"경기도 파주시 교하로 83, 동광프라자 401호 (목동동)",C,0,,새봄산부인과의원,031-946-8860,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1400,0930,,,,,37.72791854900001,126.7337040584
"경기도 파주시 금빛로 27, 301호 (금촌동, 광장프라자)",C,0,,아산최은녕산부인과의원,031-943-7070,,1800,0900,1800,0900,1400,0900,1800,0900,1800,0900,1400,0900,,,,,37.75225969491449,126.76627867922731
"경기도 용인시 기흥구 구갈로60번길 1 (구갈동, 오래메디칼센타)",C,0,기흥보건소 옆 건물,참사랑산부인과의원,031-283-6321,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600,0900,,,,,37.279866086114104,127.11153259162884
