주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도
"경상남도 창원시 의창구 의안로2번길 15, 2,3,4층 (소답동)",C,0,39사단 정문 맞은편,한미항외과의원,055-256-5610,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1200,0900,,,,,35.261713888888892,128.625477777777775
"경상남도 창원시 성산구 원이대로 664, 7층 (상남동, 창원메디컬)",C,0,은아아파트 부근,대항외과의원,055-283-8085,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.2238130277,128.6859223335
서울특별시 강북구 도봉로 353  (수유동),C,0,수유역 8번출구 ,강북제일항외과의원,02-904-3815,,2000,0930,2000,0930,2000,0930,2000,0930,2000,0930,2000,0930,1400,1100,1400,1100,37.6391384583,127.0264442635
"경기도 파주시 경의로 1092, 유은타워3 404-405호 (야당동)",C,0,,운정문항외과의원,031-943-0210,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400,0900,,,,,37.714896725158376,126.76009474617993
"경기도 파주시 중앙로 193, 4층 (금능동,메트로프라자)",C,0,,중앙항외과의원,031-946-1761,,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1300,0900,,,,,37.7544917305,126.7819721476
"인천광역시 계양구 계양대로 149, 6층 (계산동, 동산빌딩)",C,0,경인교대 4번출구,나음항외과의원,032-547-7175,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.53726681806701,126.72221224798858
"인천광역시 계양구 경명대로 1090, 405호 (계산동)",C,0,계산역 2번출구 인근,성도대항외과의원,032-551-6308,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.54295187581661,126.72804483782455
"인천광역시 계양구 계양대로 55, 7층 (작전동, 민재빌딩)",C,0,,조치항외과의원,032-362-7575,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.5287455332729,126.72210489652285
"부산광역시 중구 구덕로 90, 8층 (남포동6가)",C,0,1호선 자갈치역 3번출구,대항길외과의원,051-710-7588,,1800,0900,1800,0900,1800,0900,1800,0900,1900,0900,1500,0900,,,,,35.09757044103616,129.02601341022987
경기도 시흥시 삼미시장1길 5,C,0,,조은아침예항외과의원,031-404-3375,,1800,0930,1800,0930,1800,0930,1800,0930,2000,0930,1400,0930,,,,,37.439792601063125,126.78554178261285
"경기도 시흥시 마유로 336, 2층 (정왕동)",C,0,시화 이마트 뒤 신한은행 옆건물,굿모닝미항외과의원,031-505-7272,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,37.34573035390775,126.73563753198074
"서울특별시 영등포구 양평로 64, 4층 (당산동6가, 경진빌딩)",C,0,9호선 당산역 13번출구 ,예스항외과의원,02-2634-4116,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1400,0930,,,,,37.535138903744894,126.89996832285375
"서울특별시 영등포구 영중로 60, 6층 (영등포동5가, 유니온빌딩)",C,0,유니온빌딩 6층 ,타브로항외과의원,02-2632-7175,,1800,0900,1800,0900,1800,0900,1900,1400,1800,0900,1300,0900,,,,,37.52144810154881,126.90533048410128
서울특별시 동작구 상도로 65  (대방동),C,0,지하철 7호선 신대방삼거리역 5번출구,신항장외과의원,02-3280-7500,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400,0900,,,,,37.499988236505594,126.92793705977188
"서울특별시 동작구 등용로 2, 3층 (상도동, 덕신빌딩)",C,0,장승배기역 4번출구 3층,서울치항외과의원,02-823-7175,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1500,0900,,,,,37.50461371352535,126.93787381019476
"서울특별시 강서구 강서로 43, 7층 (화곡동, 도양라비앙타워)",C,0,까치산역 3번출구 ,시원항외과의원,02-2694-7775,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600,0900,,,,,37.53162172132882,126.84654054779494
"서울특별시 강서구 화곡로 164, 2,4층 (화곡동)",C,0,화곡역 6번출구 ,현대항분외과의원,02-2698-5021,,1900,0800,1900,0800,1900,0800,1900,0800,1900,0800,1600,0900,,,,,37.54125358847544,126.8398901137878
"부산광역시 금정구 금정로 252, 3~5층 (구서동, 세정타워)",C,0,"버스정류장: 금정문화회관 건너편
1호선 구서역 2번 출구",항소담외과의원,051-582-7517,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1400,0900,,,,,35.245618858904656,129.09266184844273
"서울특별시 강서구 공항대로 525, 비원오피스텔 301,305층 (등촌동)",C,0,"9호선 등촌역 1,2번 출구 앞",애항하지외과의원,02-3662-8075,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1330,0930,,,,,37.5514400906236,126.8649812798506
경기도 용인시 처인구 금령로 62  (김량장동),C,0,"위너스프라자 3층, 기업은행 옆 건물에 위치",연세항외과의원,031-321-8575,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,1200,0900,37.23464047008867,127.20328823371148
"경기도 고양시 일산동구 중앙로 1193, 3층 (장항동, 마두법조빌딩)",C,0,,연세청담항외과의원,031-903-3232,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1400,0900,,,,,37.653093412,126.7766300932
"경기도 고양시 일산동구 고봉로 266, 4층 (중산동)",C,0,,연세항정외과의원,031-976-7175,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.68308182012522,126.77829037926956
"서울특별시 강남구 선릉로 522 (삼성동, 3층)",C,0,2호선 선릉역 8-1번출구 근처/HS빌딩,더블유항외과의원,02-553-7175,,1830,0930,1830,0930,1830,0930,1830,0930,2000,0930,1500,0930,1200,1000,1200,1000,37.50622591025507,127.04848446156905
"경기도 성남시 분당구 성남대로 926, 306,307호 (야탑동, 메트로빌딩)",C,0,,좋은항외과의원,031-706-4504,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1300,0930,,,,,37.41258040762086,127.12928275649898
"대구광역시 수성구 달구벌대로 3248, 3층 (신매동)",C,0,,제일항외과의원,053-791-7755,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1300,0900,,,,,35.83809354396022,128.71123379485107
"경상남도 창원시 마산회원구 3·15대로 645 (석전동, 예일메디컬센터)",C,0,경남은행본점 앞,예일항맥외과의원,055-297-5533,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.2309736886,128.576434825
경상남도 창원시 마산합포구 해안대로 7,C,0,"롯데마트 부근, 남부시네마타운(경남은행 남마산지점, 남부사우나 찜질방 건물) 3층",상쾌한항맥외과의원,055-222-0975,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1300,0930,,,,,35.18079304931933,128.5597775822107
전라북도 전주시 덕진구 백제대로 630 (금암동),C,0,전주덕진소방서에서사대부고사거리S-OIL주유소앞,전주항장외과의원,063-255-4500,,1800,0900,1800,0900,1300,0900,1800,0900,1800,0900,1230,0900,,,,,35.84195545098721,127.13865031499785
"경상남도 창원시 마산합포구 3·15대로 255 (중앙동3가, 경남데파트)",C,0,경남데파크2층,항도외과의원,055-244-7242,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1400,0930,,,,,35.20110928242161,128.56713999056248
"전라북도 전주시 덕진구 덕진광장로 1-3 (덕진동1가, 향도외과)",C,0,덕진광장안에 위치함,항도외과의원,063-252-2200,,1800,0830,1800,0830,1800,0830,1800,0830,1800,0830,1300,0830,,,,,35.84431116450452,127.12376858839261
전라북도 전주시 덕진구 안덕원로 244 (인후동1가),C,0,한신휴플러스아파트 입구 맞은편(국민은행옆),항연유외과의원,063-278-6660,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1200,0900,,,,,35.8362152661,127.1535985869
"경상남도 창원시 마산회원구 북성로 107 (회원동, 재건약국)",C,0,북마산회산다리근처,재건항운외과의원,055-247-7575,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1200,0900,,,,,35.21664821986579,128.57028899704994
"전라북도 전주시 덕진구 송천중앙로 167, 3,4층 (송천동1가)",C,0,송천동 솔내고등학교 맞은편,늘편한유항외과의원,063-277-7582,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.862000000000002,127.121183333333335
충청북도 청주시 상당구 상당로 12 (서운동),C,0,,서울연합항외과의원,043-255-5900,,1800,0830,1800,0830,1800,0830,1800,0830,1800,0830,1300,0830,,,,,36.62929502577616,127.49154406283925
