주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도

인천광역시 중구 서해대로494번길 1 (유동),C,0,유동약국 맞은편,금강정형외과의원,032-881-7541,,1830,0830,1830,0830,1830,0830,1830,0830,1830,0830,1300,0830,,,,,37.46987394851316,126.6370382526461

"인천광역시 중구 하늘별빛로65번길 11, 해솔프라자 3층 (중산동)",C,0,,영종가정정형외과의원,032-764-7582,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400,0900,,,,,37.48855662960228,126.56338798741912

"인천광역시 중구 영종대로 106, 2층 (운서동)",C,0,은골사거리 운서역 화림레디칼2층,운서성모정형외과의원,032-746-7725,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1300,0900,,,,,37.49486544363834,126.49090713466712

"인천광역시 중구 하늘별빛로 71, 타임프라자 5층 (중산동)",C,0,,하늘정형외과의원,032-747-1321,,1930,0930,1930,0930,1930,0930,1930,0930,1930,0930,1400,0930,,,,,37.48951057425082,126.5632024449348

전라북도 순창군 순창읍 옥천로 58,C,0,순창터미널에서 전주가는 방향으로 50m지점,문재연정형외과의원,063-653-5300,,1730,0830,1730,0830,1200,0830,1730,0830,1730,0830,1200,0830,,,,,35.37781699597894,127.14134236427276

"경상남도 창원시 성산구 반송로 150 (반림동, 회성빌딩4,5층)",C,0,교통문화연수원 맞은편,21세기정형외과의원,055-285-0021,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1300,0900,,,,,35.236035264360794,128.6718324231939

"경상남도 창원시 성산구 가양로124번길 5-3 (대방동, 3,6층)",C,0,대방중 부근,나병천정형외과의원,055-264-7582,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.2090427589,128.7070907271

경상남도 창원시 성산구 원이대로 578 (중앙동),C,0,정우상가 부근,새미래정형외과의원,055-262-7575,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1400,0900,,,,,35.22836709771386,128.67795429381934

