주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도

전라북도 군산시 수송안길 50 (수송동),C,0,롯데마트 근처,군산메디베베소아청소년과의원,063-468-0005,,2100,0830,2100,0830,2100,0830,2100,0830,2100,0830,1800,0830,1700,0900,1800,0900,35.9637411648191,126.71716885331783

"경기도 안산시 상록구 본삼로 49, 301호 (본오동, 대명빌딩)",C,0,대명빌딩 3층 301호,상록우리들소아청소년과의원,031-407-9797,,2100,0900,2100,0900,2100,0900,2100,0900,2100,0900,1600,0900,1600,0900,1600,0900,37.301077840322755,126.86548539567074

"인천광역시 중구 하늘중앙로195번길 29, 3층 (중산동)",C,0,영종힐스테이트 맞은편 진로마트 진로프라자1층,늘푸른소아청소년과의원,032-751-7553,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1300,0930,,,,,37.4889871272376,126.56285178120045

"인천광역시 중구 흰바위로 51, 3층 (운서동)",C,0,롯데마트 3층,모아연합소아청소년과의원,032-751-8275,,2100,1000,2100,1000,1900,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,37.49267554765558,126.49121600032237

"인천광역시 중구 흰바위로 31 (운서동, 에어로시티 3층)",C,0,에어로시티 3층  302호 303호,튼튼소아청소년과의원,032-746-7588,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600,0900,,,,,37.492768165456695,126.48846080309366

경상남도 창원시 의창구 북면 동곡로 9,C,0,,북면소아청소년과의원,055-294-2119,,1900,0830,1900,0830,1900,0830,1900,0830,1900,0830,1600,0900,,,1300,0900,35.3172244387,128.5852851528

"경상남도 창원시 성산구 대정로 135, 305호(대방동,대방덕산타운상가)",C,0,대방초 부근,서울소아청소년과의원,055-282-1213,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.2122733886,128.7072989296

"경상남도 창원시 의창구 평산로 96 (팔용동, 웰빙프라자308호일부)",C,0,"심산유곡 3층, 벽산아파트 서상교 부근",아이사랑소아청소년과의원,055-295-0200,,1700,0900,1700,0900,1300,0900,1700,0900,1700,0900,1300,0900,,,,,35.25175661005513,128.61961411931264

경상남도 창원시 의창구 도계로 68 (도계동),C,0,,아이조아소아청소년과의원,055-237-8575,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.25855020192716,128.63811665669016

"경상남도 창원시 성산구 안민안길 20, 103호(안민동,한솔프라자)",C,0,대동한솔아파트상가 한솔프라자 103호,아톰소아청소년과의원,055-283-5191,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.18661689195388,128.69180381640493

"경상남도 창원시 의창구 북면 감계로110번길 54-39, 4층 401,402호",C,0,봉곡동 경남은행 부근,예인소아청소년과의원,055-237-8868,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.3015558358,128.5955594563

경상남도 창원시 의창구 북면 감계로 304 (재성빌딩 204호),C,0,,온소아청소년과이비인후과의원,055-298-6075,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.30198006301669,128.59400671754426

경상남도 창원시 의창구 반계로 98  (팔용동),C,0,벽산블루밍 B단지상가,이종인소아청소년과의원,055-251-8275,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1530,0900,,,,,35.25371965000343,128.6164977244097

경상남도 창원시 의창구 소계로 83-5,C,0,소계동 구암중학교 부근,조소아청소년과의원,055-256-1163,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1230,0900,,,,,35.25649067836602,128.59920609781167

"경상남도 창원시 성산구 원이대로473번길 22 (반림동, 반림상가 3층 1호)",C,0,,참사랑소아청소년과의원,055-287-3006,,2000,0820,,,,,2030,1330,2000,0820,1600,0900,1600,0900,1600,0900,35.235524254162364,128.6706592449735

"경상남도 창원시 성산구 동산로 124 (상남동, 성원그랜드쇼핑)",C,0,대동백화점 맞은편,최상호소아청소년과의원,055-261-5176,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.216406666461936,128.69397870306273

"경상남도 창원시 성산구 동산로 124 (상남동, 성원그랜드쇼핑)",C,0,대동백화점 옆,파티마소아청소년과의원,055-282-8275,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1400,0900,,,1200,0900,35.2193719931,128.6915938752

경상남도 창원시 의창구 동읍 동읍로 1,C,0,동읍 탑마트 부근,현대소아청소년과의원,055-252-0964,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1200,0900,,,,,35.27739774983609,128.68447831631332

"경상남도 창원시 성산구 가양로124번길 17-16, 3층 301호 (대방동, 동진메디칼)",C,0,,황지영소아청소년과의원,055-296-5672,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.2078597025,128.708159618

"경상남도 창원시 성산구 반송로 148-6, 미건빌딩 3층 301호 (반림동)",C,0,,반림소아청소년과의원,055-266-7208,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1430,0900,,,1300,0900,35.2359522536,128.6712523921

경기도 과천시 별양상가3로 11  (별양동),C,0,,다솜소아청소년과의원,02-6241-7588,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1530,0900,,,1300,0900,37.42629584527778,126.99186101677005

충청북도 청주시 서원구 사직대로 99 (사창동),C,0,사창사거리 국민은행/민병열 산부인과 옆,이영두소아청소년과의원,043-268-3660,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1600,0900,,,1300,0900,36.6350901867,127.4583191228

"충청남도 서산시 안견로 191, 3~4층 302·303·401호 (동문동)",C,0,터미널 맞은편,유니연합소아청소년과의원,1661-0150,,2200,0830,2200,0830,2200,0830,2200,0830,2200,0830,1700,0830,1700,0900,1700,0900,36.78127095863833,126.45950724400768

광주광역시 동구 남문로 663 (학동),C,0,,우리아이소아청소년과의원,062-225-7575,,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,1600,0900,,,1300,0900,35.129909879986336,126.9293247636873

충청남도 서산시 충의로 27 (예천동),C,0,롯데마트 2층,서산별소아청소년과의원,041-663-8375,,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,1700,1000,1700,1000,1700,1000,36.7737220796,126.4382983354

경기도 동두천시 지행로 56 스타월드빌딩 4층 (지행동),C,0,,아이맘소아청소년과의원,031-865-0966,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1400,0900,,,,,37.892068884828845,127.05337139308057

