주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도
서울특별시 종로구 대학로 101 (연건동),A,1,혜화역 3번 출구,서울대학교병원,1588-5700,02-2072-2475,1800,0800,1800,0800,1800,0800,1800,0800,1800,0800,1330,0800,,,,,37.57966608924356,126.99896308412191
충청남도 부여군 부여읍 계백로 200,B,1,부여경찰서 옆,학교법인건양학원건양대학교부여병원,041-837-1200,041-837-1201,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,,,,,36.275554094438235,126.90169662482884
경상남도 남해군 남해읍 화전로 169,B,1,남해대교 남해읍 방향 터미널 가는길 3거리 길 오른편(바로보입니다),의료법인 이도의료재단 남해병원,055-863-2201,055-860-6630,1700,0840,1700,0840,1700,0840,1700,0840,1700,0840,1200,0840,,,,,34.84640603127717,127.89425156305387
경기도 의왕시 오전천로 29 (오전동),B,1,,아가페의료재단 시티병원,031-340-0114,031-340-0119,1800,0900,1730,0900,1730,0900,1730,0900,1730,0900,1300,0900,,,,,37.350278664490794,126.97679539815768
서울특별시 동작구 흑석로 102 (흑석동),A,1,지하철 9호선 흑석역 4번 출구에서 도보 3분,중앙대학교병원,18001114,02-6299-1339,1630,0830,1630,0830,1630,0830,1630,0830,1630,0830,1200,0830,,,,,37.50707428493414,126.96079378447554
서울특별시 동작구 보라매로5길 20 (신대방동),A,1,,서울특별시보라매병원,02-870-2114,02-870-2119,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,1200,0900,,,,,37.4937184009319,126.92404876254014
"서울특별시 마포구 서강로 110, 지2층~6층 (신수동)",B,1,,신촌연세병원,02-337-7582,02-337-7582,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1300,0900,,,,,37.55257735393295,126.93372939201893
경상남도 밀양시 삼문중앙로 32 (삼문동),B,1,,의료법인 생명사랑의료재단 밀양윤병원,055-354-2200,070-5130-3823,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1200,0900,,,,,35.48468031922943,128.75564526263582
경상남도 밀양시 용평로5길 4-20 (용평동),B,1,,의료법인지원의료재단 굿모닝병원,055-355-9788,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.4902973543,128.7680482413
경상남도 밀양시 하남읍 수산중앙로 56-2,B,1,하남읍우체국 옆.수산초등학교 앞,행복한병원,055-391-0090,055-391-0090,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1230,0900,,,,,35.37461994215032,128.7114865036199
경기도 군포시 고산로 575 (산본동),B,1,,남천병원,031-390-2114,031-390-2119,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,37.36469870268311,126.92599678032778
경기도 가평군 설악면 미사리로 267-177,B,1,,에이치제이매그놀리아국제병원,031-589-4300,031-589-4465,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1200,0900,,,,,37.69104512763415,127.52141322182567
경기도 가평군 가평읍 가화로 47 (가평성심의원),C,1,,건유의원,031-581-7525,031-581-7525,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600,0900,1900,0900,1600,0900,37.8241069906,127.5155077505
전라남도 해남군 해남읍 해남로 45,A,1,해남군 보건소 맞은편,의료법인행촌의료재단 해남종합병원,061-536-4116,061-530-0119,1700,0830,1700,0830,1700,0830,1700,0830,1700,0830,1300,0830,,,,,34.571547222222215,126.61268333333333
전라남도 해남군 옥천면 해남로 597,A,1,,해남우리종합병원,061-530-7000,061-530-7119,1700,0830,1700,0830,1700,0830,1700,0830,1700,0830,1230,0830,,,,,34.58423738321411,126.64658297551144
전라남도 해남군 해남읍 교육청길 38,B,1,해남교육청옆,의료법인용호의료재단해남우석병원,061-536-7580,061-536-7586,1700,0830,1700,0830,1700,0830,1700,0830,1700,0830,1230,0830,,,,,34.568014061298854,126.60854649968556
경기도 포천시 포천로 1648 (신읍동),A,1,,경기도의료원포천병원,031-539-9114,031-539-9119,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,,,,,37.903264018475866,127.1983186069986
경기도 포천시 소흘읍 호국로 661,A,1,,의료법인일심의료재단우리병원,031-542-0222,031-542-0222,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,2400,0000,2400,0000,37.827495913257785,127.1481437183119
서울특별시 강서구 강서로 295 (내발산동),A,1,우장산역 4번 출구에서 명덕고교 방향 도보로 6 분거리 ( 3 5 9 m ),미즈메디병원,1588-2701,02-2007-1118,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1300,0830,,,,,37.55225379358291,126.83602535156236
"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",A,1,,부민병원,1577-7582,02-2620-0119,1800,0900,1700,0900,1700,0900,1700,0900,1700,0900,1300,0900,,,,,37.556940892893586,126.85094950539181
서울특별시 강서구 하늘길 70 (과해동),A,1,김포공항역 한국공항공사 표시 출구,우리들병원,02-2660-7500,02-2660-7057,1800,0930,1800,0930,1800,0930,1800,0930,1800,0930,1600,0930,,,,,37.56199597494205,126.7963653099318
"서울특별시 강서구 공항대로 260, 이화여자대학교 제2부속병원 (마곡동)",A,1,,이화여자대학교의과대학부속서울병원,1522-7000,02-6986-5119,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,,,,,,,37.557261149,126.8362659275
서울특별시 강서구 양천로 712 (염창동),B,1,9호선 염창역 1번 출구,강서연세병원,02-2658-5114,02-2659-6004,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,37.54931105440253,126.87480886693765
강원도 영월군 영월읍 중앙1로 59,A,1,영월읍사무소 맞은편,강원도영월의료원,033-370-9101,033-370-9129,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,,,,,,,37.186588403987926,128.46530529870284
경상남도 통영시 무전7길 192 (무전동),B,1,롯데마트 후문방면,새통영병원,055-646-6000,055-640-4119,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,34.86535758722789,128.4206525557243
경상북도 봉화군 봉화읍 보밑길 3,B,1,"중앙고속도로 이용
봉화군청 근처에 위치",봉화해성병원,054-673-1331,054-679-1399,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1200,0830,,,,,36.89170700324608,128.73350079244224
"부산광역시 연제구 월드컵대로 359 (거제동, 1동, 5동일부)",A,1,3호선 종합운동장역 7번출구,부산광역시의료원,051-507-3000,051-607-2140,1700,0830,1700,0830,1700,0830,1700,0830,1700,0830,,,,,,,35.187312651309654,129.05917919433943
경상북도 영덕군 영해면 영덕로 1621,B,1,영해에서 축산 방향 구 7번 국도변에 위치(영해 생활체육공원 앞),영덕아산병원,054-730-0152,054-730-0119,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,,,,,36.52464784739123,129.4022978175491
"서울특별시 강북구 도봉로 301 (수유동, 대한병원)",A,1,수유역 5번 출구,의료법인성화의료재단대한병원,02-903-3232,02-905-9110,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.63547043209498,127.02267251878474
"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)",B,1,4호선 수유역 1번 출구(강북구청 사거리),서울현대병원,02-994-1156,02-900-9119,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.63992822276144,127.0281656123363
경상남도 산청군 산청읍 중앙로 97,R,1,,산청군보건의료원,055-970-7500,055-970-7582,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,,,,,,,35.4160463200281,127.88419591621033
"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",A,1,,(의)영문의료재단다보스병원,031-8021-2000,031-8021-2130,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.234641294534285,127.21049868474802
경기도 용인시 처인구 금학로 225 (역북동),A,1,,연세대학교의과대학용인세브란스병원,031-331-8888,031-331-8772,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1230,0900,,,,,37.2391549581301,127.18885241897236
경기도 용인시 처인구 고림로 81 (고림동),B,1,,(의)효심의료재단용인서울병원,031-337-0114,031-322-0001,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,,,,,37.240316373,127.2144914405
충청북도 음성군 금왕읍 음성로1230번길 10,B,1,,의료법인태성의료재단금왕태성병원,043-883-8800,043-881-8801,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,36.99760379156879,127.59853452216106
경상남도 진주시 진양호로 370 (신안동),B,1,진주교대 부근,진주복음병원,055-749-7110,055-749-7119,1800,0900,1700,0900,1700,0900,1700,0900,1700,0900,1300,0900,,,,,35.185376569664825,128.06939115519654
충청북도 보은군 보은읍 보은로 102,B,1,,의료법인 정민의료재단 보은한양병원,043-544-1500,070-7575-2853,1800,0830,1800,0830,1800,0830,1800,0830,1800,0830,1300,0830,,,,,36.48327155579628,127.71821043397682
부산광역시 수영구 수영로 615 (광안동),A,1,2호선 광안역 2번출구,비에이치에스한서병원,051-756-0081,070-7321-0119,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,,,,,35.1610460623,129.1128811328
경기도 고양시 일산동구 일산로 323 (마두동),A,1,,국립암센터,031-920-0114,031-920-0119,1600,0800,1600,0800,1600,0800,1600,0800,1600,0800,1130,0800,,,,,37.664170778165285,126.78327945120733
"경기도 고양시 일산동구 일산로 100 (백석동,백석1동 1241외1필지 4층)",A,1,,국민건강보험공단일산병원,1577-0013,031-900-0764,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1300,0900,,,,,37.64530592402248,126.792204040477
"경기도 고양시 일산동구 동국로 27 (식사동, 동국대학교일산병원)",A,1,,동국대학교일산불교병원,031-961-9302,031-961-7777,1700,0830,1700,0830,1700,0830,1700,0830,1700,0830,1300,0830,,,,,37.67643677699999,126.8055658392
"경기도 고양시 일산동구 고양대로 760, 가동 (중산동, 일산복음병원)",B,1,산들마을 201동 맞은편에 위치함,의료법인일산복음병원,031-977-5000,031-929-0330,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1230,0900,2400,0000,2400,0000,37.68205457051212,126.7801254241406
충청남도 금산군 금산읍 비단로 183,B,1,금산 동초등학교 옆,새금산병원,041-754-8272,041-754-8053,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,36.10403152848004,127.49620122672218
충청북도 괴산군 괴산읍 임꺽정로 116,B,1,"충청북도 괴산군 괴산읍 임꺽정로 116
괴산군청 옆",의료법인대광의료재단괴산성모병원,043-830-5400,043-830-5411,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,36.81544387632933,127.78424628538971
강원도 태백시 보드미길 8 (장성동),A,1,태백역에서 장성방향으로  9.5Km,근로복지공단 태백병원,033-580-3114,033-580-3119,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,,,,,37.10404228529155,129.0042870499601
경상북도 청도군 화양읍 청화로 79-7,B,1,,의료법인대남의료재단청도대남병원,054-373-0606,054-370-5112,1700,0830,1700,0830,1700,0830,1700,0830,1700,0830,1200,0830,,,,,35.64871261648798,128.73711323398672
"부산광역시 동구 중앙대로 317 (초량동, 세일병원)",B,1,1호선 부산진역 1번 출구,세일병원,051-464-8110,051-460-5227,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.124819444444448,129.044530555555554
경상북도 군위군 군위읍 군청로 70,R,1,군위시외버스터미널 맞은편 건물,군위군보건소,054-383-4000,054-383-7656,2400,0900,2400,0900,2400,0900,2400,0900,2400,0900,2400,0900,2400,0900,2400,0900,36.2295928283,128.5699542894
전라북도 순창군 순창읍 교성로 135 (순창군보건의료원),R,1,,순창군보건의료원,063-650-5322,063-650-5352,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,,,,,,,35.36714953529629,127.14386670292174
충청북도 청주시 청원구 주성로 173-19 (주중동),A,1,,청주성모병원,043-219-8000,043-219-8119,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,,,,,36.673801330174406,127.48546957073641
충청북도 청주시 청원구 오창읍 중부로 683,B,1,,오창중앙병원,043-218-0119,043-218-0119,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,36.70680258158961,127.42965176665307
전라남도 화순군 화순읍 서양로 322,A,1,,화순전남대학교병원,061-379-7120,061-379-8882,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.0586707410237,127.002108292339
전라남도 화순군 화순읍 충의로 109,B,1,,화순고려병원,061-370-3700,061-370-3778,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1300,0900,,,,,35.05595373646754,126.98963562835072
전라남도 화순군 화순읍 만연로 31,B,1,화순군 화순읍 광덕리 부영2차아파트앞,화순성심병원,061-370-9114,061-370-9119,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1230,0900,,,,,35.05844089636795,126.98987847235264
인천광역시 중구 인항로 27 (신흥동3가),A,1,여객터미널 지하1층 5게이트 외환은행 옆,인하대학교의과대학부속병원,032-890-2114,032-890-2301,1630,0800,1630,0800,1630,0800,1630,0800,1630,0800,1130,0800,,,,,37.4584235016321,126.631868269228
인천광역시 중구 답동로30번길 10,A,1,중구선거관리위원회 부근,인천기독병원,032-270-8000,032-270-8300,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,,,,,37.47122873588076,126.63208102847187
전라남도 신안군 비금면 송치길 155-11,B,1,수대항 근처  세명약국 근처,의료법인신안대우병원,061-262-3301,061-262-3309,1700,0730,1700,0730,1700,0730,1700,0730,1700,0730,1200,0730,,,,,34.722263099542104,125.93256566497465
전라남도 신안군 흑산면 가거도길 36,R,1,,가거도보건지소,061-246-3585,,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,34.05115293873777,125.1290058831149
전라남도 신안군 암태면 승봉로 38,R,1,,암태면보건지소,061-271-1573,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,34.82701662555628,126.11239039793565
전라남도 신안군 하의면 하의로 250,R,1,,하의면보건지소,061-275-4024,,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,34.60371729255623,126.03592420154598
전라남도 신안군 홍도1길 32 (흑산면) ,R,1,,홍도보건지소,061-246-3701,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,34.68315141545574,125.19172149427108
경상남도 의령군 의령읍 의병로14길 10,B,1,한국농어촌공사 건너편,의령병원,055-573-4100,055-573-6200,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,,,,,35.31860563079656,128.2586798056445
강원도 속초시 영랑호반길 3 (영랑동),A,1,속초 영랑호 인근에 위치 하였음.,강원도속초의료원,033-630-6000,033-630-6190,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,,,,,,,38.21622784728713,128.5891194514502
강원도 속초시 중앙로 11 (교동),A,1,,의료법인보광의료재단속초보광병원,033-639-8500,033-639-8989,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1230,0900,,,,,38.198021245336555,128.57838660480326
경기도 수원시 영통구 월드컵로 164 (원천동),A,1,아주대학교 옆,아주대학교병원,031-219-5114,031-219-7700,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,,,,,,,37.2794477573662,127.04752107106702
울산광역시 남구 문수로480번길 10 (신정동),A,1,,의료법인정안의료재단중앙병원,052-226-1100,052-226-1119,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.53154837814933,129.30523808253045
울산광역시 남구 월평로171번길 13 (신정동),A,1,,의료법인혜명심의료재단울산병원,052-259-5000,052-259-5119,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.54621707569275,129.32309962689618
울산광역시 남구 남산로354번길 26 (신정동),B,1,,(의)내경의료재단울산제일병원,052-220-3300,052-220-3334,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.54823820112527,129.30701143429678
울산광역시 남구 삼산로 110 (달동),B,1,,굿모닝병원,052-259-9000,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.535010719916684,129.31995893362546
경기도 의정부시 흥선로 142 (의정부동),A,1,의정부역 시청방면 의정부경찰서방향으로 5시 방향 ,경기도의료원의정부병원,031-828-5000,031-828-5119,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,,,,,,,37.74108830096243,127.04255485020957
경기도 의정부시 금신로 322 (신곡동),A,1,,의료법인영동의료재단의정부백병원,031-856-8111,031-842-1211,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1300,0830,,,,,37.74536735722315,127.06206709820381
경기도 의정부시 평화로 650 (의정부동),A,1,,추병원,031-845-7777,031-845-8313,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1230,0900,,,,,37.7499600932,127.0450970956
경기도 의정부시 평화로 622 (의정부동),B,1,가능역2번출구,의료법인성베드로병원,1544-1131,031-843-3493,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1400,0900,2400,0000,2400,0000,37.74746593085386,127.04583083609806
경상남도 합천군 합천읍 대야로 876,B,1,"시외버스터미널, 금강주유소 맞은 편",삼성합천병원,055-933-2200,070-5125-5030,1700,0830,1700,0830,1700,0830,1700,0830,1700,0830,1200,0830,,,,,35.56635668398722,128.16327169035327
강원도 정선군 정선읍 봉양1길 145,B,1,  ,근로복지공단정선병원,033-560-7100,033-560-7150,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,,,,,,,37.3829238141538,128.658420530712
경기도 동두천시 동광로 53 (생연동),B,1,중앙시장 앞. 문화극장 사거리에서 중앙시장 쪽으로,동두천중앙성모병원,031-863-0550,031-863-1339,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1430,0900,2400,0000,2400,0000,37.90888404022765,127.05398051509534
경기도 군포시 산본로 321 (산본동),A,1,"군포시청 맞은편
4호선 산본역 3번출구 도보 3분",원광대학교의과대학산본병원,031-390-2300,031-390-2345,1700,0830,1700,0830,1700,0830,1700,0830,1700,0830,1230,0830,,,,,37.359787179442414,126.93330716393871
광주광역시 북구 하서로 429 (용두동),A,1,,광주희망병원,062-608-6000,062-608-6119,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1230,0900,,,,,35.21344678097714,126.87471568685204
전라북도 군산시 조촌로 149 (조촌동),A,1,,의료법인오성의료재단동군산병원,063-440-0570,063-440-0515,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,,,,,35.97740074466571,126.73719225835914
대구광역시 달서구 달구벌대로 1632 (감삼동),A,1,,더블유병원,053-550-5000,053-550-5019,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.85264247289801,128.54496871658273
대구광역시 달서구 달구벌대로 1035 (신당동),A,1,,계명대학교동산병원,1577-6622,053-258-6321,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,,,,,35.85388728949212,128.48012966656532
대구광역시 달서구 감삼북길 141 (감삼동),A,1,,의료법인구의료재단구병원,053-562-1931,053-557-7119,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1300,0900,,,,,35.85082313699737,128.54148303217695
대구광역시 달서구 월곡로 60 (도원동),A,1,,한국보훈복지의료공단대구보훈병원,053-630-7000,053-630-7014,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,,,,,,,35.80313747018647,128.55164640976287
대구광역시 달서구 월배로 215 (상인동),B,1,,나사렛병원,053-643-1400,053-643-1400,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.81908451090866,128.5367641722303
대구광역시 달서구 월배로 446 (송현동),A,1,서부정류장 부근 (구)삼일호텔 자리,삼일병원,053-659-3100,053-659-3119,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.833158969593434,128.5542543382464
