주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도
인천광역시 중구 우현로 75  (인현동),C,0,피자헛 근처,눈편한안과의원,032-762-0088,,2000,0930,1800,0930,2000,0930,1800,0930,2000,0930,1300,0930,,,1300,0930,37.473816053249,126.62967166390632
"인천광역시 중구 우현로 47, 2~3층 (신포동)",C,0,신포시장 입구,다본안과의원,032-763-6633,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1600,0930,,,,,37.47150053473876,126.62814498755108
"인천광역시 중구 신도시남로 137 (운서동,화평빌딩 4층 (404, 405호))",C,0,,영종연세안과의원,032-752-8272,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.49367613702797,126.49007390040997
인천광역시 중구 개항로 72-1,C,0,애관극장 맞은편,장안과의원,032-772-7918,,1730,0930,1730,0930,1730,0930,1730,0930,1730,0930,1400,0930,,,,,37.47178267173577,126.63058610096387
전라북도 순창군 순창읍 순창9길 12-14,C,0,,서울안과의원,063-653-7761,,1730,0830,1730,0830,1230,0830,1730,0830,1730,0830,1230,0830,,,,,35.376069444065216,127.14217995307479
전라남도 여수시 시청로 19  (학동),C,0,,여천연합안과의원,061-683-3030,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1230,0900,,,1300,0900,34.763438758843975,127.66249553805562
"경상남도 창원시 성산구 상남로 73 (상남동, 서울메디컬빌딩4층)",C,0,우리은행 부근,서울아이비안과의원,055-274-5027,,1900,0930,1900,0930,1900,0930,1900,0930,2100,0930,1400,0930,,,,,35.2208342094,128.6795261124
경상남도 창원시 성산구 동산로 108  (상남동),C,0,대동백화점 옆,유명호안과의원,055-262-8203,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1330,0930,,,,,35.21928742535528,128.69162247187552
"경상남도 창원시 의창구 읍성로 46, 3층(중동,덕산메디칼)",C,0,"소답동시장 인근, 재건창원교회 근처",이안과의원,055-255-8275,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1300,0930,,,,,35.264859374150056,128.62309293379502
"경상남도 창원시 성산구 가양로124번길 13, 204호(대방동,엑스몰빌딩)",C,0,대방동 롯데리아 건물,정영주안과의원,055-283-0277,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.20826794726197,128.70758401891507
경상남도 창원시 의창구 원이대로 587 (용호동),C,0,,차안과의원,055-285-0301,,1800,0930,1800,0930,1200,0930,1800,0930,1800,0930,1200,0930,,,,,35.22832264833709,128.67960087046373
