주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도

"인천광역시 중구 우현로 86, 2층 (인현동)",C,0,동인천맥도날드 맞은편 옹진농협 인근,연세비뇨기과의원,032-766-6363,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.474396595830406,126.63080428186825

"인천광역시 중구 우현로 90-1, 3층 (인현동)",C,0,"동인천역 앞 대한서림 맞은편, 하나은행 옆 건물",윤비뇨기과의원,032-762-8540,,1800,0930,1800,0930,1800,0930,1800,0930,1800,0930,1300,0930,,,,,37.474764348906064,126.63113595282324

"경상남도 창원시 성산구 반송로 150, 화성메디칼빌딩 201호 (반림동)",C,0,경남은행 2층,삼성비뇨기과의원,055-289-8088,,1900,0900,2000,0900,1900,0900,2000,0900,1900,0900,1300,0900,,,,,35.2607149934215,128.8681233443608

경상남도 창원시 의창구 팔용로 438,C,0,,서울비뇨기과의원,055-255-8875,,1830,0930,1830,0930,1830,0930,1830,1430,1830,0930,1300,0930,,,,,35.25539731717119,128.61341947671156

"경상남도 창원시 성산구 가양로124번길 15 (대방동, 대암빌딩)",C,0,신대방동농협부근,서원교비뇨기과의원,055-285-5614,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,1300,0900,35.20795833333334,128.7074750000004

경상남도 창원시 성산구 마디미서로 26  (상남동),C,0,하이마트 옆,선비뇨기과의원,055-285-7582,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1400,0900,,,1230,0900,35.22286715871553,128.68255485412377

"경상남도 창원시 의창구 의안로2번길 15, 1층 (소답동)",C,0,메트로병원 맞은편,신세계비뇨기과의원,055-299-7474,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.261713888888892,128.625477777777775

"경상남도 창원시 의창구 의창대로 72, 401호 (팔용동,현대메디칼)",C,0,창원역 맞은편,안호준피부비뇨기과의원,055-253-9080,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.25750553750415,128.6082363547113

"경상남도 창원시 성산구 상남로 122, 301호(상남동,롯데메디칼)",C,0,롯데백화점 근처,정비뇨기과의원,055-281-7680,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1400,0930,,,1300,0930,35.22371934089052,128.6833284931455

"경상남도 창원시 의창구 원이대로 595, 3층 302호 (용호동, 고운메디컬빌딩)",C,0,고운치과 건물,제니트비뇨기과의원,055-285-2727,,1830,0930,1830,0930,1830,0930,2000,1400,1830,0930,1300,0930,,,,,35.2280085054,128.6802626871

"경상남도 창원시 의창구 원이대로 283, 203(봉곡동,청마빌딩)",C,0,명곡사거리 부근,조의제비뇨기과의원,055-265-3749,,1830,0900,1830,0900,1830,0900,1300,0900,1830,0900,1300,0900,,,,,35.24268888888889,128.6509277777781

경상남도 창원시 성산구 원이대로 664 (상남동) 8층,C,0,,하이맨비뇨기과의원,055-275-1102,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1400,0930,,,,,35.22379494733539,128.68592635255484

경상남도 창원시 성산구 동산로 124  (상남동),C,0,대동백화점 부근,박일순비뇨기과의원,055-281-5554,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.219370742247435,128.691593449779

"경기도 과천시 중앙로 137 (중앙동, 가보자빌딩)",C,0,가보자빌딩 403호,베스톤비뇨기과의원,02-502-8275,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1300,0930,,,,,37.4288078613406,126.99170710905153

충청남도 서산시 안견로 191,C,0,서인클리닉 3층,정비뇨기과의원,041-665-8623,,1830,0830,1830,0830,1830,0830,1830,0830,1830,0830,1300,0830,,,,,36.78139057322463,126.45965427169412

충청남도 서산시 안견로 184-16,C,0,서산터미널맞은편 2층,강남비뇨기과의원,041-668-4646,,1830,0830,1830,0830,1830,0830,1830,0830,1830,0830,1500,0830,,,1300,0830,36.78214197459344,126.45844360694562

충청남도 서산시 안견로 194,C,0,충서 원예농협맞은편,삼성이영준비뇨기과의원,041-681-5501,,1830,0900,1830,0900,1830,0900,1300,0900,1830,0900,1300,0900,,,,,36.781171641916025,126.45906881576789

충청남도 서산시 안견로 184-6 (동문동),C,0,터미널 앞 롯데리아 맞은편 박용두약국 3층,서산비뇨기과의원,041-667-7900,,1800,0830,1800,0830,1800,0830,1800,0830,1800,0830,1230,0830,,,,,36.78213651919321,126.45888977585565

"경기도 동두천시 지행로 59, 401호 (지행동, M클리닉센터)",C,0,,조은비뇨기과의원,031-864-1711,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1530,0900,,,,,37.89268963292849,127.05378335583626

"경기도 파주시 중앙로 308, 3층 4호5호6호 (금촌동, 금촌현대타워)",C,0,,금촌비뇨기과의원,031-941-3588,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1400,0930,,,,,37.76343280925984,126.77567677586032

"경기도 파주시 와석순환로 125, 현대프라자 303,304호 (동패동)",C,0,,라임비뇨기과의원,031-957-4212,,2000,0930,1830,0930,1830,0930,2000,0930,1830,0930,1400,0930,,,,,37.7121171061,126.7458456841

"경기도 동두천시 중앙로 227, 3층 (생연동)",C,0,,김비뇨기과의원,031-865-2134,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1500,0900,,,,,37.90196978739304,127.05285775303943

"경기도 파주시 문산읍 문향로 52-1, 302호",C,0,,양철수비뇨기과의원,031-952-3111,,1800,0930,1800,0930,1800,0930,1300,0930,1800,0930,1230,0930,,,,,37.85717140470247,126.78355639129594

"경기도 용인시 기흥구 신갈로 52, 702호 (신갈동)",C,0,,웰비뇨기과의원,031-282-0075,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,37.271244444444442,127.105886111111104

"인천광역시 계양구 오조산로 53, 401호 (계산동, 미소지움메디칼)",C,0,계양구청 공영주차장 맞은편,연세차비뇨기과의원,032-543-5991,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1500,0900,,,,,37.53557595454908,126.73825449562625

인천광역시 계양구 장제로 907,C,0,병방사거리 병방시장입구,이영원비뇨기과의원,032-542-2480,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1400,0900,,,,,37.54765918624294,126.74048282069768

"인천광역시 계양구 경명대로 1067, 302호 (계산동, 삼환2빌딩)",C,0,"계산역 4번 출구, 비전샘물교회 건물 3층.",한강비뇨기과의원,032-551-5663,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1300,0930,,,,,37.543635728106224,126.72570569954065

"인천광역시 계양구 계양문화로 96, 3층 305호 (용종동, 강북프라자)",C,0,"홈플러스 맞은편, 국민은행 건물 3층.",한사랑비뇨기과의원,032-554-8818,,1800,0930,1800,0930,1800,0930,1800,0930,1800,0930,1330,0930,,,,,37.53923670984531,126.73723090209624

"인천광역시 계양구 봉오대로 657, 1층, 3층, 5층 (작전동)",C,0,,해피비뇨의학과의원,032-553-0777,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600,0900,,,,,37.5309074108,126.7218841803

"경기도 용인시 기흥구 동백중앙로 283 (중동, 골드프라자 B동 4층)",C,0,,베스톤비뇨기과의원,031-286-6608,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1400,0900,,,,,37.277373220938976,127.15368192563926

"울산광역시 중구 번영로 485, 3층 (약사동)",C,0,,조석수비뇨기과의원,052-296-0075,,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,1600,0900,,,,,35.5648474589,129.3362412874

충청남도 금산군 금산읍 인삼로 65,C,0,우체국 사거리에서 시민약국 2층 / 예전 경찰서 자리 ,세란비뇨기과의원,041-754-0919,,1800,0900,1800,0900,1230,0900,1800,0900,1800,0900,1230,0900,,,,,36.103426267526466,127.48908118203485

경기도 용인시 기흥구 죽전로 46,C,0,,연세웰비뇨기과의원,031-898-2020,,1800,0930,1800,0930,1800,0930,1800,0930,1800,0930,1200,0930,,,,,37.32034651087829,127.11369072578736

경상북도 포항시 북구 중흥로 319,C,0,,탑연합비뇨기과의원,054-284-7400,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,36.03072215002461,129.36409679498777

부산광역시 수영구 수영로 710-1  (광안동),C,0,"2,3호선 수영역 11번 출구",예인비뇨기과의원,051-756-2718,,1800,0930,1800,0930,1800,0930,1800,0930,1800,0930,1200,0930,,,,,35.167696619876416,129.11726574773812

부산광역시 수영구 수영로 687 (광안동),C,0,2호선 수영역 6번 출구,이현태비뇨기과의원,051-753-8008,,1800,1000,1800,1000,1300,1000,1800,1000,1800,1000,1200,1000,,,,,35.166971527859104,129.1147683686461

경기도 이천시 이섭대천로 1203,C,0,,장세용비뇨기과의원,031-635-2462,,1800,0900,1800,0900,1200,0900,1800,0900,1800,0900,1230,0900,,,,,37.277903120718896,127.44656233252158

"부산광역시 수영구 수영로 577, 5층 (광안동)",C,0,2호선 광안역 4번 출구,조이비뇨의학과의원,051-757-7582,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1330,0930,,,,,35.1573361404,129.1127193233

"울산광역시 울주군 언양읍 동문길 65, 5층",C,0,,양도훈비뇨기과의원,052-263-6776,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.565378704800516,129.12504771137048

"부산광역시 수영구 수영로 669, 신세계메디컬센터 7층 (광안동)",C,0,2호선 수영역 10번 출구,강필비뇨의학과의원,051-757-6263,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,35.1655707362,129.1144818831

경상남도 창녕군 창녕읍 교리1길 4,C,0,,수비뇨기과의원,055-533-5599,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.5423700427,128.4938774607

대구광역시 중구 달구벌대로 1993,C,0,,웰비뇨기과의원,053-358-1119,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1200,0900,,,,,35.86508376731089,128.58196924819114

"광주광역시 북구 동문대로 82, mbu타워 4층 402.403호 (두암동)",C,0,,소문난비뇨의학과의원,062-416-6565,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.17099733865017,126.92312003945902

"경기도 이천시 이섭대천로 1218, 2층 (창전동)",C,0,,김중수비뇨기과의원,031-635-8275,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1230,0930,,,,,37.278998736729406,127.44706227083128

"경기도 이천시 이섭대천로 1212, (창전동)",C,0,,서울비뇨기과의원,031-638-8877,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1500,0900,,,,,37.2783826101,127.4470180145

경기도 이천시 장호원읍 장감로 96,C,0,감곡다리 건너기 바로 전 유진약국 건물 4층,엠비뇨기과의원,031-642-7512,,1830,0930,1930,0930,1830,0930,1930,0930,1830,0930,1500,0930,,,,,37.1178166044452,127.6332785033796

"경기도 남양주시 늘을2로 20, 407호 (호평동, CH리베로빌딩)",C,0,,청담비뇨기과의원,031-592-3698,,1900,0930,1900,0930,1900,0930,2100,1400,1900,0930,1430,0930,,,,,37.65448670196966,127.24409863864341

경기도 시흥시 중심상가2길 2,C,0,,최비뇨기과의원,031-497-2861,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1530,0930,,,,,37.345953478874804,126.735792591516

경기도 시흥시 정왕대로 230,C,0,,프라임비뇨기과의원,031-506-3375,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1600,0930,,,,,37.3451413611605,126.73848141982648

경기도 남양주시 늘을2로 26,C,0,,호평박비뇨기과의원,031-559-8030,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1330,0930,,,,,37.655073933344354,127.24407445635586

충청남도 부여군 부여읍 사비로100번길 4,C,0,시외버스터미널과 소방서 사이 쎄븐일레븐 2층,신호승비뇨기과의원,041-834-9404,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1200,0900,,,,,36.28145993949853,126.91072350818128

"전라남도 순천시 이수로 295, 2층 (조례동,영광빌딩)",C,0,연향상가 인근,장비뇨기과의원,061-725-0070,,1820,0930,1820,0930,1820,0930,1820,0930,1820,0930,1300,0930,,,,,34.952731722951846,127.51637017972656

"경기도 시흥시 수인로 3366, 201호(신천동,삼영아트빌)",C,0,,신천탑비뇨기과의원,031-313-8275,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1400,0900,,,,,37.440858333333331,126.784850000000006

"경기도 시흥시 삼미시장1길 17, 시흥치과 301호 (신천동)",C,0,,연세비뇨기과의원,031-313-0111,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600,0900,,,,,37.440460710173646,126.78431947516813

"경기도 남양주시 퇴계원면 퇴계원로 29, 306호 (송백타운)",C,0,,수비뇨기과의원,031-527-2345,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1330,0900,,,,,37.64973493698877,127.1408192631909

경기도 시흥시 옥구상가3길 7-1,C,0,,시화비뇨기과의원,031-433-4361,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.35308846174503,126.72432266895927

"경기도 남양주시 금곡로 72, 304호 (금곡동, 센타플라자)",C,0,,문비뇨기과의원,031-592-4580,,1800,0930,1800,0930,1800,0930,1800,0930,1800,0930,1200,0930,,,,,37.63447285749506,127.21111024600391

경상북도 김천시 김천로 130-1 (평화동),C,0,,김우일비뇨기과의원,054-431-1919,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1500,0900,,,,,36.122122222222224,128.115577777777787

"경상북도 김천시 시청로 79 (신음동, 케이투빌딩 3층)",C,0,이마트(김천점) 옆건물,드림비뇨기과의원,054-432-6900,,1800,0900,1800,0900,2030,0900,2030,1400,1800,0900,1400,0900,,,,,36.13541887082354,128.1170585284661

경상북도 김천시 자산로 62  (모암동),C,0,,장비뇨기과의원,054-434-8686,,1730,0900,1730,0900,1730,0900,1230,0900,1730,0900,1230,0900,,,,,36.119614839249245,128.1249636433991

경기도 남양주시 덕소로97번길 4 (와부읍) ,C,0,,이비뇨기과의원,031-576-7776,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1330,0900,,,,,37.58557792064064,127.21268963480382

"경기도 남양주시 화도읍 마석중앙로 73, 3층 301호 (에스엘빌딩)",C,0,,이종원비뇨기과의원,031-593-1983,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.65223319938873,127.3080693422765

"경기도 시흥시 정왕대로 220, 506,507호 (정왕동)",C,0,,임비뇨기과의원,031-497-7722,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1400,0930,,,,,37.345477777777781,126.737586111111113

서울특별시 영등포구 여의대방로 379,C,0,,박태웅비뇨기과의원,02-782-3974,,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1200,0930,,,,,37.518975933911676,126.93102688442237

"서울특별시 영등포구 영중로 51-1, 7층 (영등포동6가)",C,0,영등포시장역 4번출구 웨딩그룹 위더스 옆,베스탑비뇨기과의원,02-2678-7070,,1800,0930,1800,0930,1800,0930,1800,1400,1800,0930,1400,0930,,,,,37.520939353460726,126.90461395917887

"서울특별시 영등포구 도림로 158, 2층 (대림동, 대림빌딩)",C,0,,봄비뇨기과의원,02-836-8707,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1300,0930,,,,,37.49416075661188,126.8993716567622

"서울특별시 영등포구 영중로2길 1, 3층 (영등포동3가)",C,0,,블루비뇨의학과의원,02-2088-4340,,2100,0900,1900,0900,1900,0900,1900,0900,2100,0900,1600,0900,,,,,37.5168829966,126.90681127170001

"서울특별시 영등포구 국제금융로6길 26, 한국노총 4층 (여의도동)",C,0,,서울엔비뇨의학과의원,02-6277-2477,,2000,0900,1900,0900,2000,0900,1900,0900,2000,0900,1600,0900,,,,,37.5219536111,126.92697248360001

"서울특별시 영등포구 양평로22길 4 , 2층 (양평동4가)",C,0,,석비뇨기과의원,02-362-3125,,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1300,1000,,,,,37.5381253457,126.8943658137

"서울특별시 영등포구 양평로 22, 6층 (당산동6가)",C,0,,아산엘비뇨의학과의원,02-6951-3935,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.53315639214069,126.9039353831975

"서울특별시 영등포구 선유로 59 , 403호 (문래동6가,문래아카데미)",C,0,서울영문포 인근 문래아카데미 403호,아주나비뇨기과의원,02-2677-7510,,1830,0940,1830,0940,1830,0940,1830,0940,1830,0940,1500,0940,,,,,37.519282313335104,126.88902603317798

"서울특별시 영등포구 영중로 45, 3층 (영등포동6가)",C,0,성모빌딩 3층,유쾌한비뇨기과의원,02-2679-0505,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.52045990050824,126.90445844274501

서울특별시 영등포구 영중로 46,C,0,영등포시장교차로 농협 건물,윤문수비뇨기과의원,02-2069-0221,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1400,0900,,,,,37.52043168037105,126.90514377210081

서울특별시 영등포구 신길로 161 (신길동),C,0,,이지용비뇨기과의원,02-847-2474,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.50655727490045,126.91088439682852

서울특별시 영등포구 당산로 231 (당산동6가) ,C,0,,곽승민피부비뇨기과의원,02-2676-1238,,1900,0930,1900,0930,1900,0930,2030,1400,1900,0930,1430,0930,,,,,37.534520610873635,126.90186992898809

서울특별시 영등포구 여의나루로 42  (여의도동),C,0,,남비뇨기과의원,02-783-8716,,1730,0930,1730,0930,1730,0930,1730,0930,1730,0930,,,,,,,37.52146942047973,126.92497295865542

"서울특별시 영등포구 여의대방로 375, 303,304호 (여의도동, 아일렉스타워)",C,0,,타워비뇨기과의원,02-786-6633,,2000,0930,1830,0930,1830,0930,1830,0930,1830,0930,1400,0930,,,,,37.518899700152346,126.93077622854648

경기도 포천시 중앙로 133 (신읍동),C,0,,박비뇨기과의원,031-535-3999,,1800,0930,1800,0930,1800,0930,1800,0930,1800,0930,1300,0930,,,,,37.89817002862903,127.20374557879415

"서울특별시 동작구 동작대로 121, 8층 (사당동, 경원빌딩)",C,0,총신대입구13번출구,강남가드비뇨기과의원,02-566-8330,,1830,0930,1830,0930,1830,0930,1900,1400,1830,0930,1300,0930,,,,,37.4874807042,126.9818589295

서울특별시 동작구 사당로 308,C,0,,이수비뇨기과의원,02-3474-1441,,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1300,1000,,,,,37.48490870307221,126.98155415591854

서울특별시 동작구 상도로15길 143  (상도동),C,0,,정호현비뇨기과의원,02-813-8390,,1830,0930,1830,0930,1830,0930,2000,1500,1830,0930,1300,0930,,,,,37.50516628734443,126.93890233723468

서울특별시 동작구 상도로 102  (상도동),C,0,성대쇼핑건물 2층,진비뇨기과의원,02-825-6563,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1600,0930,,,,,37.50018527229798,126.93193116875477

