주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도
"인천광역시 중구 참외전로 134, 3,4층 (인현동)",C,0,"동인천역 주변, 하나은행 건물 2층",고정선정신건강의학과의원,032-777-1182,,1800,0830,2000,0830,1800,0830,1800,0830,1800,0830,1300,0830,,,,,37.47461812260411,126.6310541648335
"인천광역시 중구 흰바위로 31, 에어로시티 304호 (운서동)",C,0,,장형주정신건강의학과의원,032-214-8188,,1830,0930,1830,0930,2000,0930,1830,0930,1830,0930,1400,0930,,,,,37.492768165456695,126.48846080309366
전라북도 순창군 순창읍 옥천로 42-1,C,0,순창읍 버스터미널 앞,한사랑정신건강의학과의원,063-653-6230,,1700,0830,1700,0830,1200,0830,1700,0830,1700,0830,1200,0830,,,,,35.376294444444447,127.140772222222225
인천광역시 중구 전동로12번길 2-1 (전동) ,I,0,중구보건소 5층,중구정신건강복지센터,032-760-6090,,1600,1000,1600,1000,1600,1000,1600,1000,1600,1000,,,,,,,37.47730972901689,126.62884993066601
경상남도 창원시 의창구 원이대로 587,C,0,정우상가,성가정신건강의학과의원,055-275-3557,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1200,0900,,,,,35.22841823567917,128.67946664633092
"경상남도 창원시 성산구 원이대로 652, 3층302호(상남동,롯데빌딩)",C,0,한국은행사거리,열린마음정신건강의학과의원,055-282-7171,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.224502777777779,128.684633333333323
"경상남도 창원시 의창구 의안로 41, 3층 (소답동, 성림메디칼빌딩)",C,0,,이도윤정신건강의학과의원,055-255-0708,,1900,0900,1900,0900,1900,0900,2100,1400,1900,0900,1400,0900,,,,,35.2652245869,128.6238166486
경상남도 창원시 성산구 상남로 122  (상남동),C,0,롯데백화점 근처  롯데메디칼 302호,이인섭정신건강의학과의원,055-262-8935,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1300,0930,,,,,35.2237367296962,128.68327568059033
"경상남도 창원시 의창구 우곡로217번길 36, 702호(명서동,모리스빌딩)",C,0,명곡사거리 부근,이정표정신건강의학과의원,055-238-5623,,1830,1000,1830,1000,1830,1000,1830,1430,1830,1000,1300,1000,,,,,35.24186211100235,128.65039635554046
"경상남도 창원시 성산구 원이대로 578, 구트병원빌딩 403호 (중앙동)",C,0,,창원정신건강의학과의원,055-289-6609,,1730,0900,1730,0900,1230,0900,1730,0900,1730,0900,1300,0900,,,,,35.2283759608,128.6779417971
경상남도 창원시 성산구 원이대로 646  (상남동),C,0,,닥터진정신건강의학과의원,055-274-0088,,1830,0900,1830,0900,1300,0900,1830,0900,1830,0900,1300,0900,,,,,35.224794367549904,128.6842112751346
"경상남도 창원시 성산구 마디미서로 26 (상남동, 한독빌딩)",C,0,,루이스정신건강의학과의원,055-275-7595,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,,,,,,,35.2228357434,128.682580983
"경상남도 창원시 의창구 원이대로 591 (용호동, 엑스플러스빌딩8층)",C,0,정우상가 옆,마음과마음정신건강의학과의원,055-274-2332,,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1400,0900,,,,,35.2281243099,128.6799707227
"경기도 과천시 중앙로 135 (중앙동, 대상빌딩 304호)",C,0,,푸른마음정신건강의학과의원,02-507-0770,,1830,1000,1830,1000,1830,1000,1830,1400,1830,1000,1400,1000,,,,,37.428591604430274,126.99152636151765
"충청북도 청주시 흥덕구 복대로 186, 동민빌딩 5층 (복대동)",C,0,,온유한정신건강의학과의원,043-234-2468,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,36.6331151827,127.4410575466
충청남도 서산시 율지5로 24 (동문동),C,0,구 주공아파트 108동옆/한서대 한방병원 옆 블록,굿모닝정신건강의학과의원,041-681-7555,,1700,0930,1700,0930,1700,0930,1700,0930,1700,0930,1200,0930,,,,,36.7770559963967,126.46484897780057
충청남도 서산시 고운로 205 (동문동),C,0,서신마트 옆,김정신건강의학과의원,041-667-4727,,1800,0900,1800,0900,1300,0900,1800,0900,1800,0900,1300,0900,,,,,36.78375928490124,126.45826894019453
"경기도 동두천시 중앙로 126, 생연프라자 3층 305호 (지행동)",C,0,,서울맑은정신건강의학과의원,031-928-6656,,1900,0900,2030,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.892751468,127.0525191931
"경기도 파주시 미래로 369-13, 한울프라자 303호 (동패동)",C,0,,연세위드윤정신건강의학과의원,031-942-5775,,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1500,1000,,,,,37.7110707926,126.7452958201
