주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도

"서울특별시 은평구 통일로 935, 은평장례식장 C동 (갈현동)",D,0,,은평요양병원,02-384-2311,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.62650738301746,126.91952064445857

인천광역시 중구 연안부두로21번길 11-12 (항동7가),D,0,,고은요양병원,032-715-5933,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1500,0900,,,,,37.4557300319,126.6050354151

인천광역시 중구 개항로 82 (경동),D,0,,예지요양병원,032-773-6035,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1700,0900,,,,,37.47156846022992,126.63170899628633

"인천광역시 중구 우현로62번길 30 (경동, 지하1층, 1층, 2층, 3층)",D,0,,인천삼성요양병원,032-721-7575,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1200,0900,,,,,37.4722223525757,126.6307640848303

"인천광역시 중구 영종대로 106, 지하1층(일부), 5~6층, 8~10층 (운서동)",D,0,공항신도시 롯데마트부근,힐락암요양병원,032-746-8100,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1200,0900,,,,,37.49491950417052,126.49090904975

전라북도 순창군 순창읍 순창로 105,D,0,순창톨게이트에서 읍내방향 100미터,의료법인태종의료재단순창요양병원,063-650-8000,,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,,,,,,,35.36507809897915,127.14116617346131

"경상남도 창원시 의창구 동읍 의창대로 870-5, 동창원요양병원 1,2,3,4층 지하1층(103호)호",D,0,,동창원요양병원,055-291-2002,,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1200,0900,,,,,35.2780840372,128.686708123

경상남도 창원시 의창구 북면 천주로 1092,D,0,,북면이화요양병원,055-293-3311,,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,,,,,,,35.3480062827,128.6082158247

"경상남도 창원시 의창구 남산로17번길 28, 2층, 3층 (팔용동, 팔용에이스빌딩 2,3층)",D,0,,서라벌요양병원,055-294-1400,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,,,35.26055261027518,128.61439258809818

경상남도 창원시 의창구 사림로45번길 4-11 (사림동),D,0,봉림고교 부근,성미카엘요양병원,055-264-6007,,1800,0900,1700,0900,1700,0900,1700,0900,1700,0900,1300,0900,,,,,35.24782634655048,128.67845592456493

경상남도 창원시 의창구 북면 단내로 499-32,D,0,,시립창원요양병원,055-298-2442,,1700,0800,1700,0800,1700,0800,1700,0800,1700,0800,,,,,,,35.34935408133419,128.5743013477541

경상남도 창원시 의창구 대봉로26번길 12-3 (봉림동),D,0,"창원 의창구 봉림동 주민센터 옆, 창원 컨트리클럽가는길목, 봉곡동 대동 그린코아 근처",시티요양병원,055-270-5500,,1800,0900,1730,0900,1730,0900,1730,0900,1730,0900,1300,0900,,,,,35.251007059074105,128.66845355088765

경상남도 창원시 의창구 동읍 의창대로 882,D,0,,의료법인 자은의료재단 덕산요양병원,055-251-2221,,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1200,0900,,,,,35.2783565035,128.6870742484

경상남도 창원시 의창구 남산로1번길 60 (팔용동),D,0,의창사거리 부근,의료법인청민의료재단참사랑요양병원,055-294-7575,,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1300,0900,,,,,35.261344444444447,128.616741666666655

"경상남도 창원시 의창구 우곡로217번길 6 (명서동, 2,3,4층)",D,0,the큰병원 부근,자비요양병원,055-288-6300,,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,1330,0900,,,,,35.239382735822666,128.64848747070778

경상남도 창원시 의창구 의안로2번길 31 (소답동),D,0,39사단 정문 건너편,창산요양병원,055-298-7582,,1800,0900,1700,0900,1700,0900,1700,0900,1700,0900,1300,0900,,,,,35.261649979469546,128.62719554393465

경상남도 창원시 의창구 창원천로94번길 82-18 (대원동),D,0,,푸른요양병원,055-270-8888,,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,1300,0900,,,,,35.23727706705043,128.65841388122422

"경상남도 창원시 의창구 북면 천주로 785, 행복한병원",D,0,"북면온천 부근, 명당주유소 부근",행복한요양병원,055-259-1112,,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1200,0830,,,,,35.32335627849794,128.601969752306

경상남도 창원시 성산구 원이대로393번길 25 (반지동),D,0,반지민원센터 부근,희연요양병원,055-270-2500,,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,35.23996915376772,128.66253810302106

전라북도 고창군 성내면 이재로 81-9,D,0,성내면 구 북초등학교자리,의료법인정익재단 메디케어요양병원,063-561-6550,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.558757862646395,126.7433805574675

광주광역시 동구 증심사길 2 (운림동),D,0,,치유요양병원,062-250-7575,,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1200,0900,,,,,35.13348361716874,126.9531400580649

"경상남도 합천군 대양면 대야로 737-20, 1호",D,0,,합천고려요양병원,055-933-1008,,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,,,,,,,35.5530402822,128.1612791732

