주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도

경상북도 의성군 안계면 안계길 126,G,0,농협옆에있음.,동인당한의원,054-861-5075,,1700,0830,1700,0830,1700,0830,1700,0830,1700,0830,1230,0830,,,,,36.383807114485265,128.43865252255796

"경기도 안산시 상록구 석호로 102 (사동, 2~4층)",G,0,,상록한의원,031-406-5999,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,,,1500,1000,37.3023456692214,126.8469895952059

경상남도 사천시 동금로 21 (동금동),G,0,한주비치아파트 뒷편,동양한의원,055-832-3367,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,1300,0900,34.9313621177038,128.0780222373132

경상남도 사천시 사남면 진삼로 1109,G,0,,청춘한의원,055-855-4858,,1800,0830,1800,0830,1800,0830,1800,0830,1800,0830,1400,0830,,,1400,0830,35.05298675254994,128.07486129525716

경상남도 사천시 곤양면 곤북로 38,G,0,곤양우체국,회영당한의원,055-853-5535,,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1300,1000,,,,,35.05557397314887,127.95722725872434

"인천광역시 중구 큰우물로 21 (용동, 가천대학교부속 길한방병원 본관 2층, 6층,7층, 9층,10층 )",E,0,,가천대학교부속 길한방병원,032-770-1300,,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1200,0800,,,,,37.473698153764715,126.63132659364423

"인천광역시 중구 제물량로 65, 2층 (신흥동3가)",G,0,신흥사거리 신흥시장건너편 2층,경성한의원,032-882-5353,,1900,0900,2100,0900,1900,0900,2100,0900,1900,0900,1500,0900,,,,,37.4659578065275,126.63494644929068

인천광역시 중구 참외전로37번길 1 (송월동1가),G,0,송월동주민센터 옆,국순당한의원,032-777-7658,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1400,0900,,,,,37.479849370411784,126.62419744422564

"인천광역시 중구 하늘별빛로 71, 3층 (중산동)",G,0,,단비한의원,032-752-7557,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1500,0930,,,,,37.48952905440309,126.56321045658291

"인천광역시 중구 우현로 41-1, 2층 (신포동)",G,0,신포시장 버스정류장 앞 2층,동의보감한의원,032-766-5169,,1830,0930,1830,0930,1930,0930,1430,0930,1830,0930,1430,0930,,,,,37.47120097858561,126.62801081680874

"인천광역시 중구 신도시남로 137, 3층 (운서동)",G,0,롯데마트영종도점 건너편 국민은행 건물 3층,미소한의원,032-752-2008,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400,0900,,,,,37.49366400398557,126.49008899766528

전라북도 순창군 순창읍 장류로 364-1,G,0,신세계골목 옆,누가한의원,063-653-8434,,1730,0800,1730,0800,1730,0800,1730,0800,1730,0800,1300,0800,,,,,35.37622453247434,127.14212739904185

전라북도 순창군 복흥면 추령로 1162-1,G,0,,복흥한의원,063-652-9200,,1700,0700,1700,0700,1700,0700,1700,0700,1700,0700,1230,0700,,,,,35.43267084952121,126.93005234640947

전라북도 순창군 순창읍 순창로 236,G,0,순창교육청부근 제일약국 옆,순창한의원,063-653-1075,,1800,0800,1800,0800,1800,0800,1800,0800,1800,0800,1300,0800,,,,,35.37589471618533,127.14361027475036

전라북도 순창군 순창읍 옥천로 45,G,0,,우리한의원,063-653-1079,,1700,0800,1700,0800,1700,0800,1700,0800,1700,0800,1200,0800,,,,,35.37702997835295,127.14072359420177

전라북도 순창군 순창읍 장류로 360,G,0,순창터미널 맞은편,원광한의원,063-653-8275,,1700,0830,1700,0830,1700,0830,1700,0830,1700,0830,1200,0830,,,,,35.376311111111114,127.141611111111118

전라북도 순창군 순창읍 장류로 364-1,G,0,썬마트 맞은편,은혜한의원,063-652-6624,,1730,0800,1730,0800,1730,0800,1730,0800,1730,0800,1230,0800,,,,,35.376199259660545,127.14215816875847

"인천광역시 중구 하늘달빛로 94, 스타타워 4층 403호 (중산동)",G,0,,영종한의원,032-751-1275,,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,1500,1000,,,,,37.48758536731063,126.55531694698314

"인천광역시 중구 흰바위로 41, 2층 (운서동)",G,0,"영종주공10단지스카이빌아파트 맞은편, 미스터피자건물 2층",운서한의원,032-752-1075,,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,,,,,1400,1000,37.49269135372138,126.48935384767495

"인천광역시 중구 영종대로 106, 3층 (운서동)",G,0,운서역 롯데리아,인제한의원,032-751-4565,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.49486544363834,126.49090713466713

인천광역시 중구 제물량로133번길 1  (답동),G,0,송도중 옆,중국한의원,032-831-9917,,1800,0930,1800,0930,1800,0930,1800,0930,1800,0930,1500,0930,,,,,37.469164967412226,126.62905714748496

"인천광역시 중구 운중로 22, 2층 (운남동)",G,0,"한국전력공사 앞, 농협건물 2층",청송한의원,032-752-2228,,1830,0900,1830,0900,1830,0900,,,1830,0900,1400,0900,,,,,37.49336566831978,126.53558894164647

인천광역시 중구 우현로39번길 4-1 (신포동),G,0,신포시장옆 골목,필한의원,032-777-1075,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1630,0930,,,1630,0930,37.471073130334716,126.62746883245738

"인천광역시 중구 하늘별빛로 75, 4층 (중산동)",G,0,,하늘둥지한의원,032-752-1090,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1330,0930,,,,,37.48978706487811,126.56281093598478

"인천광역시 중구 연안부두로33번길 16, 2층 103-106호 (항동7가,라이프상가)",G,0,"연안부두 어시장사거리, 수협건물 2층",한국한의원,032-888-4118,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1530,0900,,,,,37.45361175207109,126.60476515709422

인천광역시 중구 흰바위로 31  (운서동),G,0,"운서동주민센터옆, 주공10단지 맞은편",행림한의원,032-747-1075,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1400,0930,,,,,37.492823962824026,126.4883533442601

인천광역시 중구 서해대로 474 (신흥동2가),G,0,신흥동 구시립병원 건너편 1층,형제한의원,032-886-8500,,1800,0930,1800,0930,1800,0930,1800,0930,1800,0930,1200,0930,,,,,37.467974815830665,126.63593061249

인천광역시 중구 연안부두로33번길 36 (항동7가),G,0,인천종합어시장 맞은편,혜화당한의원,032-889-1275,,1830,0930,1830,0930,1730,0930,1830,0930,1830,0930,1300,0930,,,,,37.45366332405385,126.60563852346989

"경상남도 창원시 성산구 원이대로 674,   3~8층 (상남동)",E,0,노블파크상가,당당한방병원,055-298-1075,,2030,0930,1800,0930,2030,0930,1800,0930,2030,0930,1600,0930,,,,,35.224376506004404,128.68393027513721

"경상남도 창원시 성산구 원이대로682번길 8, SH빌딩 (상남동)",E,0,시민생활체육관 후문,재단법인 자생의료재단 창원자생한방병원,055-712-7049,,1800,0900,1800,0900,1930,0900,1800,0900,1800,0900,1800,0900,,,1800,0900,35.2225198972,128.6868840098

"경상남도 창원시 의창구 북면 감계로 300 (402,403호)",G,0,,감계명한의원,055-299-0602,,1900,0900,2100,0900,1900,0900,2100,0900,1900,0900,1400,0900,,,,,35.301941741277794,128.5936321888937

"경상남도 창원시 의창구 창이대로 199, 무지개상가 (봉곡동)",G,0,지귀상가 버스정류장 부근,경희감초한의원,055-288-7226,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.24493410941804,128.65918046297338

경상남도 창원시 성산구 단정로 32,G,0,상남오거리 근처,강남한의원,055-256-2439,,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1500,1000,,,,,35.219463027681584,128.68367509969337

경상남도 창원시 의창구 태복산로15번길 42,G,0,,강한의원,055-277-1090,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1400,0930,,,1400,0930,35.256336880007126,128.6379526224614

"경상남도 창원시 의창구 팔용로 438, 402호 (팔용동, 팔용종합상가)",G,0,팔용동주민센터 부근,경희대화한의원,055-298-4985,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1400,0930,,,,,35.255274256678916,128.61345659318093

"경상남도 창원시 의창구 도계로 66 (도계동, 정화빌딩)",G,0,베스킨라빈스 옆,경희송암한의원,055-273-7188,,1930,0930,1930,0930,1930,0930,1930,0930,1930,0930,1400,0930,,,,,35.25872206678103,128.63793554077637

경상남도 창원시 의창구 대원로 87 (대원동),G,0,,경희수한의원,055-273-0808,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1400,0930,,,,,35.23443551468866,128.65175729009684

"경상남도 창원시 의창구 신월로 10 (신월동, 1층)",G,0,,경희우진혁한의원,055-275-1090,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,,,,,,,35.230401407894924,128.6898941295201

"경상남도 창원시 성산구 동산로 166, 사파대동상가 208호 (사파동)",G,0,사파성당부근,경희한의원,055-281-0030,,1930,0930,1930,0930,1930,0930,1930,0930,1930,0930,1400,0930,,,1400,0930,35.222222061672774,128.6939237422118

경상남도 창원시 의창구 도계로50번길 5-12 (도계동),G,0,,경희홍한의원,055-293-0035,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600,0900,,,,,35.25917207273807,128.6369161452654

"경상남도 창원시 성산구 상남로 118, 3층 (상남동, CNN타워)",G,0,,고든몸한의원,055-267-5100,,2000,1000,2000,1000,1400,1000,2000,1000,2000,1000,1400,1000,,,,,35.2234662341,128.6831255619

"경상남도 창원시 성산구 중앙대로 75 (중앙동, 상지솔리움1층)",G,0,,고운선형한의원,055-287-3377,,2100,1000,1900,1000,2100,1000,1900,1430,2100,1000,1600,1000,,,,,35.22198332903044,128.6775070527828

경상남도 창원시 의창구 감계로 304 (북면) 재생빌딩 301호,G,0,대원동에서 북면으로 이전함,고운한의원,055-238-5389,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1400,0930,,,1300,0900,35.30198006301669,128.59400671754426

경상남도 창원시 성산구 마디미서로 68  (상남동),G,0,경창상가부근,금한의원,055-285-1075,,1930,0930,1930,0930,1930,0930,1930,0930,1930,0930,1300,0930,,,,,35.21983828107217,128.68001481475707

"경상남도 창원시 성산구 마디미서로 26 (상남동, 한독빌딩)",G,0,정우상가 부근,꽃잎위에선한의원,055-276-1075,,1900,1000,1900,1000,1400,1000,1900,1000,1900,1000,1400,1000,,,,,35.222835743363554,128.6825809830354

경상남도 창원시 성산구 가음로13번길 33  (남양동),G,0,,남양열린한의원,055-287-5082,,2000,0930,2000,0930,2000,0930,2000,0930,2000,0930,1400,0930,,,,,35.21305829886558,128.70114359084846

"경상남도 창원시 성산구 가양로136번길 14 (대방동, 대양빌딩)",G,0,GS마트 근처,느티나무한의원,055-286-5338,,1900,1000,2000,1000,1900,1000,2000,1000,1900,1000,1400,1000,,,,,35.20835728450596,128.70808192312762

"경상남도 창원시 성산구 원이대로 670 (상남동, 삼육빌딩2층)",G,0,,다산미즈한의원,055-264-7882,,1900,1000,1900,1000,1900,1000,1500,1000,1900,1000,1500,1000,,,,,35.2235062606928,128.6864651204889

"경상남도 창원시 성산구 대정로 31-4, 203호 (가음동, 가고파상가)",G,0,,다인한의원,055-286-8875,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1400,0930,,,,,35.2074136949,128.6980965602

경상남도 창원시 성산구 가양로 100 (남양동),G,0,개나리 4차아파트 정문 앞,단아안석림한의원,055-275-7575,,1900,0930,1900,0930,1900,0930,,,1900,0930,1300,0930,,,,,35.214416666666665,128.703138888888901

"경상남도 창원시 성산구 동산로 124 (상남동, 성원그랜드쇼핑)",G,0,성원주상가 5층,대동한의원,055-282-1488,,1900,0940,1900,0940,1900,0940,1900,0940,1900,0940,1300,0940,,,,,35.21938173764312,128.69158049931806

"경상남도 창원시 의창구 팔용로 428 (팔용동, 드림피아)",G,0,팔용동주민센터 부근,대성한의원,055-295-8981,,1900,0930,1900,0930,1900,0930,1900,1430,1900,0930,1400,0930,,,,,35.25459090525655,128.61279702916306

