name,address,tel

정동진역,"강원 강릉시 강동면 정동역길 17 (정동진리, 정동진역)",T.033-520-2513

강릉시청,"강원 강릉시 강릉대로 33 (홍제동, 강릉시청)",T.033-640-5091

홈플러스강릉점,"강원 강릉시 경강로 2120 (옥천동, 씨네몰)",T.033-649-8021

구정(동해방향)휴게소,강원 강릉시 구정면 동해고속도로 345 (제비리),T.033-644-8345

구정속초방향휴게소,강원 강릉시 구정면 동해고속도로 346 (제비리),T.033-644-4760

강릉시보건소,"강원 강릉시 남부로17번길 38 (내곡동, 강릉시보건소)",T.033-660-3117

남부건강생활지원센터,강원 강릉시 성덕포남로 80-22 (입암동),T.033-660-2490

강릉대관령휴게소인천방향,"강원 강릉시 성산면 영동고속도로 231 (보광리, 강릉상휴게소)",T.033-647-9970

강릉대관령휴게소강릉방향,강원 강릉시 성산면 영동고속도로 232 (보광리),T.033-648-8850

국민건강보험공단강릉지사,"강원 강릉시 송정길 1 (송정동, 국민건강보험공단)",T.033-650-8112

강릉세무서,"강원 강릉시 수리골길 65 (교동, 강릉세무서)",T.033-610-9243

옥계휴게소,강원 강릉시 옥계면 동해고속도로 320 (주수리),T.033-534-1700

강릉KTX역,"강원 강릉시 용지로 176 (교동, 강릉역)",T.033-520-8369

강릉시립모루도서관,"강원 강릉시 율곡로 2923-12 (교동, 강릉시립모루도서관)",T.033-660-3242

주문진보건출장소,"강원 강릉시 주문진읍 항구로 19 (주문리, 주문진읍보건소)",T.033-660-3485

동해항여객터미널,"강원 동해시 대동로 210 (송정동, 동해지방해양항만청)",T.033-520-6144

동해휴게소,"강원 동해시 동해대로 6437 (망상동, 동해휴게소동해방향)",T.033-534-6631

이마트동해점,"강원 동해시 천곡로 100 (천곡동, 동해이마트)",T.033-539-7111

동해시보건소,"강원 동해시 천곡로 100-2 (천곡동, 보건소)",T.033-539-8805

동해시청,"강원 동해시 천곡로 77 (천곡동, 동해시청)",T.033-539-8498

쏠비치삼척리조트,"강원 삼척시 수로부인길 453 (갈천동, (주)대명레저산업 삼척지점)",T.033-803-7952

홈플러스삼척점,"강원 삼척시 중앙로 258 (당저동, 홈플러스)",T.033-571-8005

삼척시청,"강원 삼척시 중앙로 296 (교동, 삼척시청)",T.033-570-3274

삼척시보건소,"강원 삼척시 척주로 76 (남양동, 삼척시보건소)",T.033-570-4631

롯데리조트속초,"강원 속초시 대포항길 186 (대포동, 롯데리조트속초)",T.033-634-1000

호텔마레몬스,강원 속초시 동해대로 3705,T.033-630-7000

국민건강보험공단속초지사,"강원 속초시 동해대로 4044 (조양동, 국민건강보험공단)",T.033-639-9114

중앙산후조리원,강원 속초시 동해대로 4117,T.033-637-3535

국립산악박물관,강원 속초시 미시령로 3054 (노학동),T.033-638-4459

한화호텔앤드리조트,강원 속초시 미시령로2983번길 111 (장사동),T.033-635-7711

춘천지방법원속초지원,"강원 속초시 법대로 15 (동명동, 춘천지방법원 속초지원)",T.033-639-7600

이마트속초점,"강원 속초시 설악금강대교로 12 (청호동, E마트)",T.033-630-1052

설악산국립공원사무소,강원 속초시 설악산로 833 (설악동),T.033-801-0940

속초시보건소,"강원 속초시 수복로 36 (교동, 속초시보건소)",T.033-639-2708

강원도속초의료원,"강원 속초시 영랑호반길 3 (영랑동, 속초의료원)",T.033-630-6000

속초시립도서관,"강원 속초시 조양로 89 (조양동, 속초시도서체육센터)",T.033-631-1443

김소아청소년과의원,강원 속초시 청대로 347 (교동),T.033-637-1800

양구군보건소,"강원 양구군 양구읍 관공서로 42 (하리, 양구군보건소)",T.033-480-2812

양양 공항,"강원 양양군 손양면 공항로 201 (동호리, 양양국제공항)",T.033-670-7312

대명리조트 양양솔비치호텔,"강원 양양군 손양면 선사유적로 678 (오산리, 대명쏠비치호텔&리조트)",T.033-670-3624

양양군보건소,"강원 양양군 양양읍 양양로 9-5 (연창리, 양양군보건소)",T.033-670-2533

영월군보건소,"강원 영월군 영월읍 하송로 44 (하송리, 영월군 보건소)",T.033-370-2372

영월군청,"강원 영월군 영월읍 하송로 64 (하송리, 영월군청사)",T.033-370-2218

원주종합체육관,"강원 원주시 서원대로 281 (명륜동, 원주종합체육관)",T.033-737-4306

원주시청,"강원 원주시 시청로 1 (무실동, 원주시청)",T.033-737-2472

춘천지방법원원주지원,"강원 원주시 시청로 149 (무실동, 춘천지방법원 원주지원)",T.033-738-1031

원주시보건소,"강원 원주시 원일로 139 (일산동, 시민문화센터)",T.033-737-4057

원주만종역,강원 원주시 호저면 운동들1길 31 (만종리),T.033-520-8171

내린천휴게소(양양방향),강원 인제군 상남면 서울양양고속도로 117-2 (하남리),T.033-852-8605

인제군보건소,"강원 인제군 인제읍 인제로140번길 34 (남북리, 인제보건소)",T.033-461-4190

정선군보건소,"강원 정선군 정선읍 녹송로 33 (봉양리, 정선군보건소)",T.033-560-2116

철원군보건소,"강원 철원군 갈말읍 군탄로 16 (군탄리, 철원군보건소)",T.033-450-5764

남춘천역,"강원 춘천시 영서로 2260 (퇴계동, 남춘천역)",T.033-257-7022

춘천시립도서관,"강원 춘천시 우석로 100 (석사동, 춘천시립도서관)",T.033-245-5138

춘천시보건소,"강원 춘천시 중앙로 135 (중앙로3가, 춘천시보건소)",T.033-250-3993

강원도청,"강원 춘천시 중앙로 1 (봉의동, 강원도청)",T.033-249-2284

춘천역,"강원 춘천시 공지로 591 (근화동, 춘천역)",T.033-241-7758

태백시보건소,"강원 태백시 태백로 905 (황지동, 보건소)",T.033-550-3033

한국청소년안전체험관,"강원 태백시 평화길 15 (장성동, 한국청소년안전체험관)",T.033-550-3101

평창역,"강원 평창군 용평면 평창대로 1715 (재산리, 평창역)",T.033-520-8103

진부역,"강원 평창군 진부면 송정길 120 (송정리, 진부역)",T.033-520-8300

홍천강휴게소,강원 홍천군 북방면 도사곡길 223 (소매곡리),T.033-435-1201

홍천군청,"강원 홍천군 홍천읍 석화로 93 (희망리, 홍천군청)",T.033-430-2325

홍천군보건소,"강원 홍천군 홍천읍 신장대로 5 (희망리, 홍천군보건소)",T.033-430-4044

연봉도서관,강원 홍천군 홍천읍 연봉중앙로 11-10 (연봉리),T.033-430-2402

홍천(양양)휴게소,강원 홍천군 화촌면 서울양양고속도로 84 (군업리),T.010-5339-0444

홍천(서울)휴게소,강원 홍천군 화촌면 구룡령로 933-46 (군업리),T.010-8375-4348

화천군보건의료원,"강원 화천군 화천읍 강변로 111 (중리, 화천군보건의료원)",T.033-440-2872

화천읍주민자치센터,"강원 화천군 화천읍 중앙로9길 9 (하리, 화천읍자치센터)",T.033-440-2626

횡성군청,"강원 횡성군 횡성읍 태기로 15 (읍하리, 횡성군청)",T.033-340-2489

가평군보건소,"경기 가평군 가평읍 가화로 155-18 (읍내리, 가평군보건소)",T.031-580-2822

가평역,"경기 가평군 가평읍 문화로 13-42 (달전리, 가평역사)",T.031-581-2855

아침고요수목원,"경기 가평군 상면 수목원로 432 (행현리, 아침고요수목원)",T.010-6203-9949

설악도서관,"경기 가평군 설악면 자잠로 65 (신천리, 가평설악도서관)",T.031-580-4312

대성리역,"경기 가평군 청평면 경춘로 88 (대성리, 대성리역)",T.031-584-0616

상천역,"경기 가평군 청평면 상천역로 29 (상천리, 상천역)",T.010-6295-8450

청평도서관,"경기 가평군 청평면 은고개로 31 (청평리, 가평군립청평도서관)",T.031-580-4332

청평역,"경기 가평군 청평면 청평역로 97-33 (청평리, 청평역)",T.031-541-0012

프랑스문화마을(쁘띠프랑스),"경기 가평군 청평면 호반로 1063 (고성리, 쁘띠프랑스)",T.010-9094-8408

스타필드 고양점,"경기 고양시 덕양구 고양대로 1955 (동산동, 스타필드 고양)",T.02-5173-4715

이케아고양점1층,"경기 고양시 덕양구 권율대로 420 (도내동, 이케아 고양점)",T.010-8002-1310

행신어린이도서관,"경기 고양시 덕양구 소원로181번길 42 (행신동, 시립행신어린이도서관)",T.031-8075-9274

덕양구보건소,"경기 고양시 덕양구 원당로33번길 28 (주교동, 덕양구보건소)",T.031-8075-4032

행신역,"경기 고양시 덕양구 소원로 102 (행신동, 행신역)",T.031-979-0263

화전역,"경기 고양시 덕양구 화랑로 53 (화전동, 화전역)",T.02-3158-0788

화정역,"경기 고양시 덕양구 화정로 지하 60 (화정동, 화정역)",T.031-974-4971

덕양구청,"경기 고양시 덕양구 화중로104번길 13 (화정동, 덕양구청)",T.031-8075-5032

벨라시타,"경기 고양시 일산동구 강송로 33 (백석동, 일산요진와이시티)",T.031-849-6697

백마역경의선,"경기 고양시 일산동구 경의로 318 (백석동, 백마역)",T.031-901-7788

풍산역경의선,"경기 고양시 일산동구 경의로 486 (풍동, 풍산역)",T.031-907-9154

코스트코일산점,"경기 고양시 일산동구 장백로 25 (백석동, 코스트코 일산점)",T.010-5253-2931

고양종합터미널백석,"경기 고양시 일산동구 중앙로 1036 (백석동, 베스트 고양터미널)",T.031-936-7312

일산뉴코아아울렛,"경기 고양시 일산동구 중앙로 1206 (마두동, 뉴코아백화점일산점)",T.010-2035-9193

일산동구보건소,"경기 고양시 일산동구 중앙로 1228 (마두동, KT고양지사)",T.031-8075-4104

일산동구청,"경기 고양시 일산동구 중앙로 1256 (마두동, 일산동구청)",T.031-8075-6044

일산롯데백화점,"경기 고양시 일산동구 중앙로 1283 (장항동, 롯데백화점일산점)",T.031-909-2781

일산호수공원,"경기 고양시 일산동구 호수로 595 (장항동, 고양꽃전시관)",T.031-8075-4347

가좌보건지소,"경기 고양시 일산서구 가좌3로 16 (가좌동, 가좌도서관및보건지소)",T.031-8075-4782

일산역,"경기 고양시 일산서구 경의로 672 (일산동, 일산역)",T.031-976-7788

탄현역,"경기 고양시 일산서구 경의로 856 (덕이동, 탄현역사)",T.031-911-1271

