이름,주소,전화번호,경도,위도
정동진역,"강원 강릉시 강동면 정동역길 17 (정동진리, 정동진역)",T.033-520-2513,129.0329814,37.69124126
강릉시청,"강원 강릉시 강릉대로 33 (홍제동, 강릉시청)",T.033-640-5091,128.8759583,37.75206262
홈플러스강릉점,"강원 강릉시 경강로 2120 (옥천동, 씨네몰)",T.033-649-8021,128.8986518,37.75569006
구정(동해방향)휴게소,강원 강릉시 구정면 동해고속도로 345 (제비리),T.033-644-8345,128.8511161,37.72221513
구정속초방향휴게소,강원 강릉시 구정면 동해고속도로 346 (제비리),T.033-644-4760,128.8543381,37.72289691
강릉시보건소,"강원 강릉시 남부로17번길 38 (내곡동, 강릉시보건소)",T.033-660-3117,128.8827499,37.74280944
남부건강생활지원센터,강원 강릉시 성덕포남로 80-22 (입암동),T.033-660-2490,128.9188486,37.76325016
강릉대관령휴게소인천방향,"강원 강릉시 성산면 영동고속도로 231 (보광리, 강릉상휴게소)",T.033-647-9970,128.8050145,37.75963933
강릉대관령휴게소강릉방향,강원 강릉시 성산면 영동고속도로 232 (보광리),T.033-648-8850,128.8066402,37.75735345
국민건강보험공단강릉지사,"강원 강릉시 송정길 1 (송정동, 국민건강보험공단)",T.033-650-8112,128.9299026,37.77574978
강릉세무서,"강원 강릉시 수리골길 65 (교동, 강릉세무서)",T.033-610-9243,128.8960055,37.77592198
옥계휴게소,강원 강릉시 옥계면 동해고속도로 320 (주수리),T.033-534-1700,129.0602228,37.61619002
강릉KTX역,"강원 강릉시 용지로 176 (교동, 강릉역)",T.033-520-8369,128.9019437,37.76575856
강릉시립모루도서관,"강원 강릉시 율곡로 2923-12 (교동, 강릉시립모루도서관)",T.033-660-3242,128.8912302,37.76383636
주문진보건출장소,"강원 강릉시 주문진읍 항구로 19 (주문리, 주문진읍보건소)",T.033-660-3485,128.8229935,37.89382853
동해항여객터미널,"강원 동해시 대동로 210 (송정동, 동해지방해양항만청)",T.033-520-6144,129.1395662,37.49252645
동해휴게소,"강원 동해시 동해대로 6437 (망상동, 동해휴게소동해방향)",T.033-534-6631,129.0742002,37.60089351
이마트동해점,"강원 동해시 천곡로 100 (천곡동, 동해이마트)",T.033-539-7111,129.1171292,37.52392065
동해시보건소,"강원 동해시 천곡로 100-2 (천곡동, 보건소)",T.033-539-8805,129.1172751,37.52255773
동해시청,"강원 동해시 천곡로 77 (천곡동, 동해시청)",T.033-539-8498,129.1143601,37.5247303
쏠비치삼척리조트,"강원 삼척시 수로부인길 453 (갈천동, (주)대명레저산업 삼척지점)",T.033-803-7952,129.1646978,37.47034056
홈플러스삼척점,"강원 삼척시 중앙로 258 (당저동, 홈플러스)",T.033-571-8005,129.1683035,37.44642624
삼척시청,"강원 삼척시 중앙로 296 (교동, 삼척시청)",T.033-570-3274,129.1649627,37.44990722
삼척시보건소,"강원 삼척시 척주로 76 (남양동, 삼척시보건소)",T.033-570-4631,129.1721946,37.44374177
롯데리조트속초,"강원 속초시 대포항길 186 (대포동, 롯데리조트속초)",T.033-634-1000,128.6127918,38.18061278
호텔마레몬스,강원 속초시 동해대로 3705,T.033-630-7000,128.6064626,38.16695373
국민건강보험공단속초지사,"강원 속초시 동해대로 4044 (조양동, 국민건강보험공단)",T.033-639-9114,128.592303,38.1899661
중앙산후조리원,강원 속초시 동해대로 4117,T.033-637-3535,128.5839722,38.18925024
국립산악박물관,강원 속초시 미시령로 3054 (노학동),T.033-638-4459,128.5404986,38.20273386
한화호텔앤드리조트,강원 속초시 미시령로2983번길 111 (장사동),T.033-635-7711,128.5287216,38.21030096
춘천지방법원속초지원,"강원 속초시 법대로 15 (동명동, 춘천지방법원 속초지원)",T.033-639-7600,128.5919476,38.21357462
이마트속초점,"강원 속초시 설악금강대교로 12 (청호동, E마트)",T.033-630-1052,128.5957634,38.19104461
설악산국립공원사무소,강원 속초시 설악산로 833 (설악동),T.033-801-0940,128.5167384,38.16749343
속초시보건소,"강원 속초시 수복로 36 (교동, 속초시보건소)",T.033-639-2708,128.575951,38.19616764
강원도속초의료원,"강원 속초시 영랑호반길 3 (영랑동, 속초의료원)",T.033-630-6000,128.5879182,38.21606335
속초시립도서관,"강원 속초시 조양로 89 (조양동, 속초시도서체육센터)",T.033-631-1443,128.590658,38.18675619
김소아청소년과의원,강원 속초시 청대로 347 (교동),T.033-637-1800,128.5721417,38.19747889
양구군보건소,"강원 양구군 양구읍 관공서로 42 (하리, 양구군보건소)",T.033-480-2812,127.9892058,38.10994509
양양 공항,"강원 양양군 손양면 공항로 201 (동호리, 양양국제공항)",T.033-670-7312,128.6629032,38.05874205
대명리조트 양양솔비치호텔,"강원 양양군 손양면 선사유적로 678 (오산리, 대명쏠비치호텔&리조트)",T.033-670-3624,128.6656108,38.08705786
양양군보건소,"강원 양양군 양양읍 양양로 9-5 (연창리, 양양군보건소)",T.033-670-2533,128.6274543,38.07769115
영월군보건소,"강원 영월군 영월읍 하송로 44 (하송리, 영월군 보건소)",T.033-370-2372,128.4635022,37.18409006
